"","term","df","sumsq","meansq","statistic","p.value","p_BH","significant"
"4010","X19917_346.201_3.885_NA",6,13.6881782300008,2.28136303833346,2.38746268358719,0.0305428095381373,0.0692506793817318,"Non-significant"
"4011","X3375_245.1_1.619_NA",6,13.6832930896801,2.28054884828001,2.38654010309114,0.0306022922415103,0.0693658747524794,"Non-significant"
"4012","X3555_206.139_1.701_Spectral Match to Dexpanthenol from NIST14",6,13.6827530287671,2.28045883812785,2.3864381135307,0.0306088747807905,0.0693658747524794,"Non-significant"
"4013","X47331_388.248_6.109_NA",6,13.6812432422964,2.28020720704941,2.38615299652721,0.0306272838314309,0.069390297681378,"Non-significant"
"4014","X77580_319.19_10.056_NA",6,13.6778606463611,2.27964344106018,2.38551422601543,0.0306685657748901,0.0694665171961387,"Non-significant"
"4015","X66519_333.205_8.636_NA",6,13.6769461355828,2.27949102259714,2.38534153399269,0.0306797355636573,0.0694745095254725,"Non-significant"
"4016","X90514_389.283_12.362_NA",6,13.6742290422887,2.27903817371478,2.38482846182226,0.0307129443658302,0.0695323929716455,"Non-significant"
"4017","X30040_241.107_4.685_NA;NCGC00180648-02!(3R,4S)-6,8-dihydroxy-3,4,5-trimethyl-1-oxo-3,4-dihydroisochromene-7-carboxylic acid",6,13.6730406910152,2.2788401151692,2.384604069246,0.0307274791314127,0.0695329923942085,"Non-significant"
"4018","X42807_223.133_5.863_NA",6,13.6729568727133,2.27882614545221,2.38458824222548,0.0307285045578453,0.0695329923942085,"Non-significant"
"4019","X89512_581.398_11.738_NA",6,13.6652773095696,2.2775462182616,2.3831382140883,0.0308225910952695,0.069728538999301,"Non-significant"
"4020","X92182_804.575_12.984_NA",6,13.664205731837,2.27736762197283,2.38293589325422,0.0308357408952203,0.0697409343829212,"Non-significant"
"4021","X88526_641.496_11.713_NA",6,13.6580464629569,2.27634107715948,2.38177303415229,0.0309114253763705,0.0698947225869089,"Non-significant"
"4022","X88917_387.268_11.836_NA",6,13.6568407457474,2.27614012429124,2.38154540700937,0.0309262613447053,0.069910437272114,"Non-significant"
"4023","X68451_251.164_8.941_Lychnopholic acid;Massbank:NA002321 (+)-Costunolide|Costunolide|(3aS,6E,10E,11aR)-6,10-dimethyl-3-methylidene-3a,4,5,8,9,11a-hexahydrocyclodeca[b]furan-2-one",6,13.6557939794655,2.27596566324425,2.38134779087666,0.0309391468501727,0.069910437272114,"Non-significant"
"4024","X63014_468.11_8.12_NA",6,13.6556074937235,2.27593458228724,2.38131258500797,0.0309414429809708,0.069910437272114,"Non-significant"
"4025","X9328_369.117_2.811_NA",6,13.6540652333752,2.27567753889587,2.38102143112655,0.0309604383538727,0.069935976525071,"Non-significant"
"4026","X83085_461.267_10.658_NA",6,13.6496876310577,2.27494793850962,2.3801950399949,0.0310144146261649,0.0700405011875538,"Non-significant"
"4027","X75477_292.3_9.818_NA",6,13.6425217030162,2.27375361716937,2.37884237121604,0.0311029604201718,0.070216183765392,"Non-significant"
"4028","X48887_430.295_6.396_NA",6,13.6421424038744,2.27369040064573,2.37877077648427,0.0311076537843158,0.070216183765392,"Non-significant"
"4029","X67168_709.441_8.736_NA",6,13.6414152029596,2.27356920049327,2.37863351435973,0.0311166538528969,0.0702190659792849,"Non-significant"
"4030","X3392_511.176_1.628_NA",6,13.6377019842631,2.27295033071052,2.37793264807858,0.0311626476371179,0.0703054075227483,"Non-significant"
"4031","X65420_377.195_8.321_NA",6,13.6346766548423,2.27244610914038,2.37736164347299,0.0312001676743694,0.0703725935240305,"Non-significant"
"4032","X16275_298.128_3.491_NA",6,13.6308017430039,2.27180029050065,2.37663031809484,0.0312482856500932,0.0704636441296249,"Non-significant"
"4033","X43222_446.202_5.809_NA",6,13.6202022335067,2.27003370558445,2.37463001146369,0.0313802617567677,0.0707269264051121,"Non-significant"
