"","Comparison","Z","P.unadj","P.adj","significant"
"X78052_547.325_10.093_NA","La_Jolla Reefs - Mission_Bay",-5.12291371541072,3.00850042430731e-07,3.15892544552268e-06,"Significant"
"X13982_232.202_3.272_NA","La_Jolla Reefs - Mission_Bay",-5.12065457751449,3.04476917548148e-07,3.19700763425556e-06,"Significant"
"X33200_260.196_4.886_NA","La_Jolla Reefs - Mission_Bay",-5.02565751684001,5.01710564330867e-07,3.51197395031607e-06,"Significant"
"X65889_456.206_8.549_NA","La_Jolla Reefs - Mission_Bay",-5.224693458101,1.74443859831212e-07,3.66332105645546e-06,"Significant"
"X11850_195.087_3.211_NA","La_Jolla Reefs - Mission_Bay",-5.00756334036174,5.51234143142769e-07,3.85863900199938e-06,"Significant"
"X57492_331.081_7.416_NA","La_Jolla Reefs - Mission_Bay",5.19981396544338,1.99488090415752e-07,4.1892498987308e-06,"Significant"
"X44484_203.106_5.92_NA","La_Jolla Reefs - Mission_Bay",-5.19302864926403,2.06900331080376e-07,4.34490695268791e-06,"Significant"
"X54684_180.138_7.059_NA","La_Jolla Reefs - Mission_Bay",5.03922814919871,4.67413029014455e-07,4.90783680465177e-06,"Significant"
"X8927_598.27_2.723_NA","La_Jolla Reefs - Mission_Bay",-5.10255776687267,3.35093413749647e-07,7.0369616887426e-06,"Significant"
"X69495_635.397_9.114_NA","La_Jolla Reefs - Mission_Bay",-5.07994004627483,3.77554001791765e-07,7.92863403762708e-06,"Significant"
"X64017_522.186_8.273_NA","La_Jolla Reefs - Mission_Bay",4.92840385353537,8.29041144997258e-07,8.70493202247121e-06,"Significant"
"X79444_546.379_10.151_NA","La_Jolla Reefs - Mission_Bay",-5.05053700949763,4.40569738826482e-07,9.25196451535613e-06,"Significant"
"X80582_385.237_10.265_NA","La_Jolla Reefs - Mission_Bay",-5.03470460507915,4.78586257751291e-07,1.00503114127771e-05,"Significant"
"X4350_222.185_2.003_NA","La_Jolla Reefs - Mission_Bay",-5.03131712340408,4.87121625440646e-07,1.02295541342536e-05,"Significant"
"X80910_243.174_10.41_NA","La_Jolla Reefs - Mission_Bay",-4.62532386225825,3.74013530261482e-06,1.12204059078445e-05,"Significant"
"X82429_430.295_10.594_NA","La_Jolla Reefs - Mission_Bay",-4.99852139479569,5.77715976571719e-07,1.21320355080061e-05,"Significant"
"X35573_606.332_5.16_NA","La_Jolla Reefs - Mission_Bay",-4.98155552428254,6.3075180150188e-07,1.32457878315395e-05,"Significant"
"X53803_377.812_6.957_NA","La_Jolla Reefs - Mission_Bay",-4.74406933583774,2.09467099480633e-06,1.46626969636443e-05,"Significant"
"X38623_287.232_5.423_NA","La_Jolla Reefs - Mission_Bay",-4.82209803145945,1.42056096211716e-06,1.49158901022302e-05,"Significant"
