"","Comparison","Z","P.unadj","P.adj","significant"
"X88009_871.572_11.312_Pheophytin.a.Chlorophyll.a","La_Jolla Reefs - Mission_Bay",3.41979935439338,0.000626673395210995,0.00219335688323848,"Significant"
"X65291_586.379_8.455_NA","La_Jolla Reefs - Mission_Bay",-3.87894107793169,0.000104912160614032,0.00220315537289468,"Significant"
"X85698_401.268_10.98_NA","La_Jolla Reefs - Mission_Bay",-3.87667930470841,0.000105891781234908,0.00222372740593307,"Significant"
"X91062_1147.325_12.558_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",3.87441753148512,0.000106880029098996,0.00224448061107892,"Significant"
"X6410_284.185_2.53_NA","La_Jolla Reefs - Mission_Bay",3.59621757505653,0.000322877774500763,0.00226014442150534,"Significant"
"X91699_932.629_12.77_NA.SQDG.16.0.18.3....M.NH4...C43H80N1O12S1","La_Jolla Reefs - Mission_Bay",-3.7002590898066,0.00021537945995071,0.00226148432948245,"Significant"
"X67295_363.216_8.757_NA","La_Jolla Reefs - Mission_Bay",-3.87215376635018,0.000107877856934693,0.00226543499562855,"Significant"
"X46519_301.899_6.105_NA","La_Jolla Reefs - Mission_Bay",-3.51931913542957,0.000432655922627315,0.0022714435937934,"Significant"
"X55688_311.211_7.187_NA","La_Jolla Reefs - Mission_Bay",3.86763022223061,0.000109898143978944,0.00230786102355783,"Significant"
"X20809_421.205_3.904_NA","La_Jolla Reefs - Mission_Bay",-3.85971799104926,0.000113517953002605,0.0023838770130547,"Significant"
"X68554_370.204_8.964_NA","La_Jolla Reefs - Mission_Bay",-3.68669035395257,0.000227189516913075,0.00238548992758729,"Significant"
"X48246_403.23_6.357_NA","La_Jolla Reefs - Mission_Bay",-3.85858313399147,0.000114046274566827,0.00239497176590337,"Significant"
"X80008_425.231_10.304_NA","La_Jolla Reefs - Mission_Bay",-3.85632136193169,0.000115106144891567,0.00241722904272291,"Significant"
"X74705_363.216_9.807_NA","La_Jolla Reefs - Mission_Bay",-3.67990314126854,0.000233322559286501,0.00244988687250826,"Significant"
"X37766_301.146_5.343_NA","La_Jolla Reefs - Mission_Bay",-3.67764136920876,0.000235400614677336,0.00247170645411203,"Significant"
"X84347_303.231_10.63_NA","La_Jolla Reefs - Mission_Bay",-3.84727427369256,0.000119439234673502,0.00250822392814355,"Significant"
"X77408_809.522_10.021_NA","La_Jolla Reefs - Mission_Bay",-3.84614734472854,0.000119989623019435,0.00251978208340813,"Significant"
"X33655_724.395_4.999_NA","La_Jolla Reefs - Mission_Bay",-3.84275072957299,0.000121663020106271,0.0025549234222317,"Significant"
"X64792_514.3_8.383_NA","La_Jolla Reefs - Mission_Bay",-3.83936202156819,0.000123354429591328,0.00259044302141788,"Significant"
"X46681_385.148_6.125_NA","La_Jolla Reefs - Mission_Bay",3.56002922209999,0.000370813527938073,0.00259569469556651,"Significant"
"X19036_342.212_3.708_NA","La_Jolla Reefs - Mission_Bay",-3.83822915991258,0.000123924802867063,0.00260242086020832,"Significant"
"X55911_308.258_7.215_NA","La_Jolla Reefs - Mission_Bay",-3.55550567798042,0.000377252797008296,0.00264076957905807,"Significant"
"X34782_302.074_5.086_NA","La_Jolla Reefs - Mission_Bay",3.36778032946955,0.000757759463990738,0.00265215812396758,"Significant"
"X14283_328.196_3.299_NA","La_Jolla Reefs - Mission_Bay",-3.65955095781875,0.000252657598788655,0.00265290478728088,"Significant"
"X53377_255.159_6.9_NA","La_Jolla Reefs - Mission_Bay",-3.65954719273048,0.000252661310843217,0.00265294376385378,"Significant"
"X57335_337.2_7.393_NA.NCGC00381199.01_C25H38O4_.3aR.5E.7S.10E.14E.16aS..2.7.Dihydroxy.3...2S..1.hydroxy.2.propanyl..6.10.14.16a.tetramethyl.4.7.8.9.12.13.16.16a.octahydrocyclopenta.15.annulen.1.3aH..one","La_Jolla Reefs - Mission_Bay",-3.6572854206707,0.000254900491974673,0.00267645516573407,"Significant"
"X18057_372.223_3.718_NA","La_Jolla Reefs - Mission_Bay",-3.83031492402104,0.000127979361303166,0.00268756658736649,"Significant"
"X81739_283.169_10.507_NA.Spectral.Match.to.12.S..Hydroxy.16.heptadecynoic.acid.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.65502364861092,0.000257158272303281,0.00270016185918445,"Significant"
"X83607_480.549_10.728_NA","La_Jolla Reefs - Mission_Bay",3.82465655309471,0.000130954511799383,0.00275004474778704,"Significant"
"X45155_403.194_5.986_NA","La_Jolla Reefs - Mission_Bay",-3.82352763396124,0.000131555839722451,0.00276267263417147,"Significant"
"X83657_415.284_10.733_NA","La_Jolla Reefs - Mission_Bay",-3.643714788312,0.000268731196323566,0.00282167756139744,"Significant"
"X84582_474.378_10.728_NA.Spectral.Match.to.1.Hexadecanoyl.2.sn.glycero.3.phosphate.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.63919124419243,0.000273495636904037,0.00287170418749238,"Significant"
"X54055_252.18_6.981_NA","La_Jolla Reefs - Mission_Bay",-3.81334965445646,0.000137095937873864,0.00287901469535115,"Significant"
"X80499_434.289_10.354_NA","La_Jolla Reefs - Mission_Bay",-3.6335386832054,0.000279560511338972,0.0029353853690592,"Significant"
"X73503_325.2_9.562_NA","La_Jolla Reefs - Mission_Bay",-3.44920239117057,0.000562245119046812,0.00295178687499576,"Significant"
"X56559_330.242_7.278_NA","La_Jolla Reefs - Mission_Bay",-3.80656237661644,0.000140911764819868,0.00295914706121724,"Significant"
"X22021_504.337_4.013_NA","La_Jolla Reefs - Mission_Bay",-3.63014415595329,0.000283262974190059,0.00297426122899562,"Significant"
"X68731_375.216_8.987_NA","La_Jolla Reefs - Mission_Bay",-3.80430060455666,0.000142205406162845,0.00298631352941975,"Significant"
"X61868_297.184_7.921_NA","La_Jolla Reefs - Mission_Bay",-3.80204078834004,0.000143509093428762,0.003013690962004,"Significant"
"X70687_435.273_9.295_NA","La_Jolla Reefs - Mission_Bay",-3.51931732502388,0.000432658875311006,0.00302861212717704,"Significant"
"X74276_298.274_9.697_NA","La_Jolla Reefs - Mission_Bay",-3.44015530293144,0.000581380475891783,0.00305224749843186,"Significant"
"X74082_283.169_9.666_NA","La_Jolla Reefs - Mission_Bay",-3.51705555296409,0.000436362444665407,0.00305453711265785,"Significant"
"X51114_327.158_6.64_NA","La_Jolla Reefs - Mission_Bay",-3.79751528837731,0.000146153764987996,0.00306922906474792,"Significant"
"X36207_214.135_5.21_NA","La_Jolla Reefs - Mission_Bay",-3.79525546867019,0.000147491503945502,0.00309732158285554,"Significant"
"X74847_605.387_9.745_NA","La_Jolla Reefs - Mission_Bay",-3.50800846472496,0.000451474684499469,0.00316032279149628,"Significant"
"X86495_1074.305_11.108_NA..2S.3S.4S.5R.6R..6....3S.4S.6aR.6bS.8R.8aR.9R.10R.12aS.14bR..8a..acetyloxymethyl..8.9.dihydroxy.4..hydroxymethyl..4.6a.6b.11.11.14b.hexamethyl.10...E..2.methylbut.2.enoyl.oxy.1.2.3.4a.5.6.7.8.9.10.12.12a.14.14a.tetradecahydropicen.3.yl.oxy..4.hydroxy.3.5.bis...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.oxane.2.carboxylic.acid","La_Jolla Reefs - Mission_Bay",3.61318458288965,0.000302459228724525,0.00317582190160751,"Significant"
"X4364_208.133_2.009_NA..methyl.3.oxo.2...3.4.5.trimethoxyphenyl.methylene.benzo.b.furan.5.carboxylate.CollisionEnergy.205060.","La_Jolla Reefs - Mission_Bay",-3.61204997947502,0.000303785996762224,0.00318975296600335,"Significant"
"X19529_460.311_3.79_NA.Spectral.Match.to.Undecaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.61204997947502,0.000303785996762226,0.00318975296600337,"Significant"
"X83081_323.234_10.664_NA","La_Jolla Reefs - Mission_Bay",-3.50348852513056,0.000459206439790011,0.00321444507853008,"Significant"
"X8221_210.124_2.636_NA","La_Jolla Reefs - Mission_Bay",-3.60979006436092,0.000306444922114585,0.00321767168220314,"Significant"
"X74666_511.287_9.725_NA","La_Jolla Reefs - Mission_Bay",-3.60978820741524,0.000306447115855257,0.0032176947164802,"Significant"
"X21748_386.238_4.009_NA","La_Jolla Reefs - Mission_Bay",-3.7839446560186,0.000154362162569238,0.00324160541395401,"Significant"
"X11359_236.164_2.993_NA","La_Jolla Reefs - Mission_Bay",-3.78168288395882,0.000155771719409614,0.00327120610760189,"Significant"
"X70108_319.19_9.368_NA.NCGC00384809.01.5..5.hydroxy.3..hydroxymethyl.pentyl..8a..hydroxymethyl..5.6.dimethyl.3.4.4a.6.7.8.hexahydronaphthalene.1.carboxylic.acid..IIN.based.on..CCMSLIB00000847958.","La_Jolla Reefs - Mission_Bay",-3.78168288395882,0.000155771719409615,0.00327120610760191,"Significant"
"X44925_472.311_6.095_NA","La_Jolla Reefs - Mission_Bay",-3.77942111189904,0.000157193384322154,0.00330106107076524,"Significant"
"X91229_738.551_12.501_NA","La_Jolla Reefs - Mission_Bay",-3.60187756383487,0.00031592715989971,0.00331723517894696,"Significant"
"X66982_486.363_8.71_NA","La_Jolla Reefs - Mission_Bay",-3.77716128288392,0.000158626016904438,0.0033311463549932,"Significant"
"X46412_311.185_6.109_NA","La_Jolla Reefs - Mission_Bay",-3.77715933983925,0.000158627253979878,0.00333117233357743,"Significant"
"X56876_500.342_7.33_NA","La_Jolla Reefs - Mission_Bay",-3.77489756777947,0.000160073425760323,0.00336154194096679,"Significant"
"X76946_540.41_9.978_NA","La_Jolla Reefs - Mission_Bay",-3.48991428824669,0.000483175489539074,0.00338222842677352,"Significant"
"X40223_740.463_5.55_NA","La_Jolla Reefs - Mission_Bay",-3.59508853840958,0.000324281274129114,0.0034049533783557,"Significant"
"X86449_1073.307_11.103_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",3.77151461039933,0.00016225965540027,0.00340745276340568,"Significant"
"X67648_317.174_8.734_NA","La_Jolla Reefs - Mission_Bay",-3.76811225160012,0.000164486738276722,0.00345422150381115,"Significant"
"X49189_215.128_6.434_NA","La_Jolla Reefs - Mission_Bay",-3.76585047954033,0.000165983106573346,0.00348564523804026,"Significant"
"X67687_337.2_8.654_NA","La_Jolla Reefs - Mission_Bay",-3.76132693542076,0.000169014344081818,0.00354930122571817,"Significant"
"X27285_162.055_4.459_NA","La_Jolla Reefs - Mission_Bay",-3.58038885428126,0.000343083257047434,0.00360237419899806,"Significant"
"X70388_315.158_9.232_NA","La_Jolla Reefs - Mission_Bay",-3.58038517063804,0.000343088093979327,0.00360242498678294,"Significant"
"X30059_657.366_4.686_NA","La_Jolla Reefs - Mission_Bay",-3.58038517063804,0.000343088093979327,0.00360242498678294,"Significant"
"X90659_1370.382_12.502_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",-3.75680532387437,0.000172096269370667,0.00361402165678401,"Significant"
"X20692_347.123_4.034_NA","La_Jolla Reefs - Mission_Bay",-3.47182011176841,0.000516942607191099,0.00361859825033769,"Significant"
"X52434_417.21_6.786_NA","La_Jolla Reefs - Mission_Bay",-3.75454355065108,0.000173657650233245,0.00364681065489814,"Significant"
"X25841_475.325_4.337_NA","La_Jolla Reefs - Mission_Bay",-3.75454355065108,0.000173657650233245,0.00364681065489814,"Significant"
"X42925_238.143_5.852_NA","La_Jolla Reefs - Mission_Bay",-3.46955833970863,0.000521314836564806,0.00364920385595364,"Significant"
"X55046_207.138_7.107_NA","La_Jolla Reefs - Mission_Bay",-3.57586162651848,0.000349076266311103,0.00366530079626658,"Significant"
"X18494_250.18_3.634_NA","La_Jolla Reefs - Mission_Bay",-3.46503479558906,0.000530162880087074,0.00371114016060952,"Significant"
"X72780_679.46_9.514_NA","La_Jolla Reefs - Mission_Bay",-3.75001807512184,0.000176821824413745,0.00371325831268864,"Significant"
"X8789_242.15_2.71_NA","La_Jolla Reefs - Mission_Bay",3.56681453827934,0.000361347025474973,0.00379414376748722,"Significant"
"X51556_536.358_6.682_NA","La_Jolla Reefs - Mission_Bay",3.56455276621956,0.000364477125849362,0.0038270098214183,"Significant"
"X9793_179.127_2.92_NA","La_Jolla Reefs - Mission_Bay",-3.74097291131138,0.000183309279495201,0.00384949486939921,"Significant"
"X82501_429.318_10.595_NA","La_Jolla Reefs - Mission_Bay",-3.55776745004021,0.000374020208576017,0.00392721219004817,"Significant"
"X71347_492.309_9.407_NA.Spectral.Match.to.HEPC.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.73418567070336,0.000188323529252524,0.00395479411430301,"Significant"
"X50388_233.153_6.558_Massbank.NA003096.....Costunolide.Costunolide..3aS.6E.10E.11aR..6.10.dimethyl.3.methylidene.3a.4.5.8.9.11a.hexahydrocyclodeca.b.furan.2.one","La_Jolla Reefs - Mission_Bay",-3.73192389864357,0.000190022914003201,0.00399048119406722,"Significant"
"X16183_229.106_3.479_NA","La_Jolla Reefs - Mission_Bay",-3.73192389864357,0.000190022914003201,0.00399048119406722,"Significant"
"X32002_215.128_4.832_NA","La_Jolla Reefs - Mission_Bay",-3.72966212658379,0.000191736703556836,0.00402647077469355,"Significant"
"X75773_349.201_9.724_NA","La_Jolla Reefs - Mission_Bay",-3.72966212658379,0.000191736703556836,0.00402647077469355,"Significant"
"X31194_317.065_4.791_NA","La_Jolla Reefs - Mission_Bay",3.72401152784213,0.000196081966256864,0.00411772129139414,"Significant"
"X72642_516.308_9.453_NA.Spectral.Match.to.HEPC.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.72287681040444,0.000196965637698811,0.00413627839167503,"Significant"
"X2116_300.201_1.014_NA.Spectral.Match.to.Hexaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.72175358254797,0.000197844045740049,0.00415472496054103,"Significant"
"X60637_347.185_7.741_NA","La_Jolla Reefs - Mission_Bay",-3.71835326628487,0.000200525715960784,0.00421104003517647,"Significant"
"X35225_768.422_5.126_NA","La_Jolla Reefs - Mission_Bay",-3.7172242924669,0.000201423610190129,0.0042298958139927,"Significant"
"X82962_397.294_10.656_NA.Spectral.Match.to.p.tert.Octylphenol.tetraglycol.ether.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.53741150150215,0.000404069574929615,0.00424273053676096,"Significant"
"X59561_286.237_7.598_NA","La_Jolla Reefs - Mission_Bay",-3.34968442054008,0.000809036781516496,0.0042474431029616,"Significant"
"X23078_495.241_4.102_NA","La_Jolla Reefs - Mission_Bay",-3.71609149422508,0.000202328341346004,0.00424889516826609,"Significant"
"X17444_415.253_3.79_Spectral.Match.to.Nonaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.53288795738258,0.000411046635511314,0.0043159896728688,"Significant"
"X62334_301.182_8.035_NA","La_Jolla Reefs - Mission_Bay",-3.70817719957377,0.000208756557978976,0.0043838877175585,"Significant"
"X69328_665.496_9.09_NA","La_Jolla Reefs - Mission_Bay",-3.52610264120323,0.000421723489966886,0.0044280966446523,"Significant"
"X81639_387.252_10.498_NA","La_Jolla Reefs - Mission_Bay",-3.41301403821403,0.000642486324791314,0.00449740427353919,"Significant"
"X52917_191.127_6.845_NA","La_Jolla Reefs - Mission_Bay",-3.7002590898066,0.00021537945995071,0.0045229686589649,"Significant"
"X65021_345.169_8.395_NA","La_Jolla Reefs - Mission_Bay",-3.69799731774681,0.000217307184850435,0.00456345088185913,"Significant"
"X89858_1222.343_12.055_NA..2S.3S.4S.5R.6R..6....3S.4S.6aR.6bS.8R.8aR.9R.10R.12aS.14bR..8a..acetyloxymethyl..8.9.dihydroxy.4..hydroxymethyl..4.6a.6b.11.11.14b.hexamethyl.10...E..2.methylbut.2.enoyl.oxy.1.2.3.4a.5.6.7.8.9.10.12.12a.14.14a.tetradecahydropicen.3.yl.oxy..4.hydroxy.3.5.bis...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.oxane.2.carboxylic.acid","La_Jolla Reefs - Mission_Bay",3.13029253074103,0.00174632305648792,0.00458409802328079,"Significant"
"X63572_430.295_8.207_NA","La_Jolla Reefs - Mission_Bay",3.32706669994224,0.000877653632983973,0.00460768157316586,"Significant"
"X76271_585.301_9.907_NA","La_Jolla Reefs - Mission_Bay",-3.40622872203468,0.000658669727999692,0.00461068809599784,"Significant"
"X62203_556.347_8.016_NA","La_Jolla Reefs - Mission_Bay",-3.51480282132567,0.000440080611816802,0.00462084642407642,"Significant"
"X51791_364.212_6.712_NA","La_Jolla Reefs - Mission_Bay",3.69347377362724,0.000221211334073557,0.0046454380155447,"Significant"
"X20629_429.232_3.884_NA.Spectral.Match.to.Undecaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.68329958888,0.000230234305788145,0.00483492042155104,"Significant"
"X75389_737.501_9.813_NA","La_Jolla Reefs - Mission_Bay",-3.682166807506,0.000231260009263751,0.00485646019453878,"Significant"
"X3357_300.201_1.613_NA.Spectral.Match.to.Hexaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.67990503428272,0.000233320827268435,0.00489973737263714,"Significant"
"X27044_518.279_4.437_NA","La_Jolla Reefs - Mission_Bay",-3.67651237444779,0.000236444390853037,0.00496533220791378,"Significant"
"X17789_377.18_3.628_NA","La_Jolla Reefs - Mission_Bay",-3.38474711100715,0.00071243859064699,0.00498707013452893,"Significant"
"X51483_312.216_6.677_NA.Spectral.Match.to.Lauroyl.L.carnitine.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.49217606030647,0.000479102339319423,0.00503057456285394,"Significant"
"X33711_321.101_5.007_NA","La_Jolla Reefs - Mission_Bay",3.49217606030647,0.000479102339319425,0.00503057456285396,"Significant"
"X52856_208.154_6.839_NA","La_Jolla Reefs - Mission_Bay",-3.49217606030647,0.000479102339319425,0.00503057456285396,"Significant"
"X73202_268.263_9.573_NA.Gly.C14.0","La_Jolla Reefs - Mission_Bay",-3.30218720728462,0.000959340188604844,0.00503653599017543,"Significant"
"X62855_249.148_8.131_NCGC00385922.01_C15H20O3_.2R.5S.9R.12R..13.13.Dimethyl.7.oxatetracyclo.7.5.0.0.1.5..0.2.12..tetradecane.4.8.dione.4.O.Methylphloracetophenone","La_Jolla Reefs - Mission_Bay",-3.48991428824668,0.000483175489539076,0.0050733426401603,"Significant"
"X25779_330.133_4.366_NA","La_Jolla Reefs - Mission_Bay",-3.66859428096962,0.000243887755841464,0.00512164287267075,"Significant"
"X66259_505.24_8.609_NA","La_Jolla Reefs - Mission_Bay",-3.48539074412712,0.000491418859132217,0.00515989802088827,"Significant"
"X66872_509.274_8.697_NA","La_Jolla Reefs - Mission_Bay",-3.48539074412712,0.000491418859132218,0.00515989802088829,"Significant"
"X88514_546.487_11.719_NA","La_Jolla Reefs - Mission_Bay",-3.66407073685005,0.000248238179726895,0.0052130017742648,"Significant"
"X32864_273.228_4.92_NA","La_Jolla Reefs - Mission_Bay",-3.66180896479027,0.000250440587052383,0.00525925232810005,"Significant"
"X63822_223.133_8.209_NA","La_Jolla Reefs - Mission_Bay",-3.28635480286613,0.00101493082895599,0.00532838685201893,"Significant"
"X81091_291.195_10.427_NA","La_Jolla Reefs - Mission_Bay",-3.47634365588798,0.000508300497933574,0.00533715522830253,"Significant"
"X53526_422.87_6.915_NA","La_Jolla Reefs - Mission_Bay",-3.36552028753665,0.00076399448746074,0.00534796141222518,"Significant"
"X84145_331.226_10.785_NA..3aR......Sclareolide.CollisionEnergy.205060","La_Jolla Reefs - Mission_Bay",-3.47182011176841,0.000516942607191096,0.00542789737550651,"Significant"
"X43517_463.288_5.873_NA","La_Jolla Reefs - Mission_Bay",-3.65276187655113,0.000259434794672779,0.00544813068812837,"Significant"
"X65541_572.4_8.493_NA","La_Jolla Reefs - Mission_Bay",-3.65276187655113,0.000259434794672781,0.0054481306881284,"Significant"
"X83683_441.263_10.736_NA","La_Jolla Reefs - Mission_Bay",-3.35873150877921,0.000783011034591618,0.00548107724214132,"Significant"
"X50295_251.164_6.63_NA","La_Jolla Reefs - Mission_Bay",-3.27504594256721,0.00105644791266169,0.00554635154147388,"Significant"
"X86074_545.346_11.035_NA","La_Jolla Reefs - Mission_Bay",-3.27391842487184,0.00106067226578505,0.00556852939537154,"Significant"
"X79783_459.292_10.254_NA","La_Jolla Reefs - Mission_Bay",-3.64597656037178,0.000266378257398349,0.00559394340536533,"Significant"
"X16730_416.285_3.532_NA","La_Jolla Reefs - Mission_Bay",-3.45372593529014,0.000552898949555934,0.0058054389703373,"Significant"
"X69391_335.185_9.063_NA","La_Jolla Reefs - Mission_Bay",-3.44920239117057,0.000562245119046812,0.00590357374999153,"Significant"
"X80950_313.273_10.391_NA","La_Jolla Reefs - Mission_Bay",-3.1913603763552,0.00141604534489237,0.00594739044854797,"Significant"
"X44602_263.127_5.931_NA.Lactucin","La_Jolla Reefs - Mission_Bay",-3.63014415595329,0.000283262974190057,0.0059485224579912,"Significant"
"X9337_208.119_2.767_NA","La_Jolla Reefs - Mission_Bay",3.25468999402915,0.00113516202388454,0.00595960062539385,"Significant"
"X84469_407.336_10.816_NA","La_Jolla Reefs - Mission_Bay",-3.44581327826753,0.000569343609912327,0.00597810790407944,"Significant"
"X35145_253.143_5.119_NA","La_Jolla Reefs - Mission_Bay",-3.62562061183372,0.000288268311391531,0.00605363453922216,"Significant"
"X88481_996.308_11.701_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",3.62223354378747,0.000292070248329371,0.0061334752149168,"Significant"
"X66987_307.19_8.696_NA","La_Jolla Reefs - Mission_Bay",-3.43563175881187,0.000591173917811029,0.00620732613701581,"Significant"
"X5009_249.123_2.145_NA","La_Jolla Reefs - Mission_Bay",3.43563175881187,0.000591173917811031,0.00620732613701582,"Significant"
"X92003_920.311_12.799_NA","La_Jolla Reefs - Mission_Bay",-3.61883715725406,0.00029592977177465,0.00621452520726765,"Significant"
"X74979_401.287_9.763_NA","La_Jolla Reefs - Mission_Bay",-3.61770627064241,0.000297225433319109,0.00624173409970129,"Significant"
"X45551_209.153_6.024_NA","La_Jolla Reefs - Mission_Bay",-3.43336998675209,0.000596128023714405,0.00625934424900125,"Significant"
"X51845_221.117_6.718_NA.NCGC00380971.01_C17H28O3_.1R.2R.4aS.8aS..2...2R..2.Hydroxybutyl..1.3.dimethyl.1.2.4a.5.6.7.8.8a.octahydro.1.naphthalenecarboxylic.acid","La_Jolla Reefs - Mission_Bay",-3.6143117515348,0.000301146529464201,0.00632407711874823,"Significant"
"X92323_316.32_13.049_NA","La_Jolla Reefs - Mission_Bay",-3.61092280850286,0.000305109468655748,0.00640729884177071,"Significant"
"X56787_245.117_7.317_NA","La_Jolla Reefs - Mission_Bay",-3.31349606758353,0.000921374027355627,0.00644961819148939,"Significant"
"X28898_287.147_4.591_NA","La_Jolla Reefs - Mission_Bay",-3.60300289123589,0.000314562028376097,0.00660580259589804,"Significant"
"X73944_347.185_9.564_NA","La_Jolla Reefs - Mission_Bay",-3.41301403821403,0.000642486324791317,0.00674610641030883,"Significant"
"X74836_259.169_9.75_NA","La_Jolla Reefs - Mission_Bay",-3.29992543522483,0.000967105202306373,0.00676973641614461,"Significant"
"X86065_399.308_11.032_NA","La_Jolla Reefs - Mission_Bay",-3.58717417744162,0.000334281040322485,0.00701990184677219,"Significant"
"X74356_518.324_9.699_PC.18.3.0.0....M.H...C26H49N1O7P1.Spectral.Match.to.1.Stearoyl.2.hydroxy.sn.glycero.3.phosphocholine.from.NIST14","La_Jolla Reefs - Mission_Bay",-3.58490871475761,0.000337196124945255,0.00708111862385035,"Significant"
"X79910_331.226_10.38_NA","La_Jolla Reefs - Mission_Bay",-3.39944340585533,0.000675231521958908,0.00708993098056854,"Significant"
"X29977_592.353_4.676_NA","La_Jolla Reefs - Mission_Bay",-3.28296383359641,0.00102721843356292,0.00719052903494043,"Significant"
"X58974_354.285_7.592_NA","La_Jolla Reefs - Mission_Bay",-3.39379246737147,0.000689319092367443,0.00723785046985816,"Significant"
"X39859_340.233_5.526_NA","La_Jolla Reefs - Mission_Bay",-3.57812339857826,0.000346070064797242,0.00726747136074209,"Significant"
"X1401_333.116_0.756_NA","La_Jolla Reefs - Mission_Bay",-3.39265808967597,0.000692179773656216,0.00726788762339027,"Significant"
"X76446_263.164_9.84_NA","La_Jolla Reefs - Mission_Bay",-3.39039631761619,0.0006979164865614,0.0073281231088947,"Significant"
"X86048_529.352_11.033_NA","La_Jolla Reefs - Mission_Bay",-3.27730771462699,0.00104802085821144,0.00733614600748007,"Significant"
"X15301_312.122_3.394_NA","La_Jolla Reefs - Mission_Bay",-3.3881380314045,0.000703688415773895,0.0073887283656259,"Significant"
"X24010_325.248_4.244_NA","La_Jolla Reefs - Mission_Bay",-3.38813454555641,0.000703697359403853,0.00738882227374046,"Significant"
"X39695_400.29_5.515_NA","La_Jolla Reefs - Mission_Bay",-3.19136201805342,0.00141603729787116,0.00743419581382359,"Significant"
"X67053_233.153_8.72_Massbank.NA003096.....Costunolide.Costunolide..3aS.6E.10E.11aR..6.10.dimethyl.3.methylidene.3a.4.5.8.9.11a.hexahydrocyclodeca.b.furan.2.one.Isoalantolactone.CollisionEnergy.205060","La_Jolla Reefs - Mission_Bay",-3.57133808239891,0.000355162088203513,0.00745840385227378,"Significant"
"X74898_361.237_9.756_NA","La_Jolla Reefs - Mission_Bay",-3.38361100143684,0.000715392827361931,0.00751162468730028,"Significant"
"X81216_576.389_10.456_NA","La_Jolla Reefs - Mission_Bay",-3.56907814634181,0.000358239564742437,0.00752303085959117,"Significant"
"X90948_1073.307_12.51_NA.Contaminant.vial.septum.ThermoFisher.C5000.44B","La_Jolla Reefs - Mission_Bay",3.56907631033913,0.000358242075033106,0.00752308357569523,"Significant"
"X59596_632.458_7.678_NA","La_Jolla Reefs - Mission_Bay",-3.56794725973017,0.00035978889854372,0.00755556686941813,"Significant"
"X41340_239.128_5.651_NA","La_Jolla Reefs - Mission_Bay",-3.56681453827934,0.000361347025474973,0.00758828753497444,"Significant"
"X49014_221.117_6.509_NA","La_Jolla Reefs - Mission_Bay",-3.18457506017585,0.0014496670992973,0.00761075227131083,"Significant"
"X12875_388.187_3.278_NA.Spectral.Match.to.Nonaethylene.glycol.from.NIST14","La_Jolla Reefs - Mission_Bay",3.37908745731727,0.000727268681803439,0.00763632115893611,"Significant"
"X12639_377.143_3.134_NA","La_Jolla Reefs - Mission_Bay",-3.37908745731727,0.00072726868180344,0.00763632115893612,"Significant"
"X89550_701.253_12.097_NA","La_Jolla Reefs - Mission_Bay",3.01720392775183,0.00255118121541725,0.00765354364625176,"Significant"
"X48600_253.143_6.359_NA","La_Jolla Reefs - Mission_Bay",-3.56455276621956,0.000364477125849362,0.00765401964283659,"Significant"
"X82786_445.294_10.626_NA","La_Jolla Reefs - Mission_Bay",-3.56002922209999,0.000370813527938075,0.00778708408669957,"Significant"
"X65808_233.153_8.362_Massbank.NA003095.....Costunolide.Costunolide..3aS.6E.10E.11aR..6.10.dimethyl.3.methylidene.3a.4.5.8.9.11a.hexahydrocyclodeca.b.furan.2.one","La_Jolla Reefs - Mission_Bay",-3.25695176608894,0.00112615567487226,0.00788308972410582,"Significant"
"X66090_351.216_8.445_NA","La_Jolla Reefs - Mission_Bay",-3.37004036907813,0.00075157172348162,0.00789150309655701,"Significant"
"X52452_393.227_6.789_NA.mollugin","La_Jolla Reefs - Mission_Bay",-3.36551682495857,0.000764004076491081,0.00802204280315635,"Significant"
"X28527_407.13_4.554_NA","La_Jolla Reefs - Mission_Bay",3.55098213386085,0.000383796469131602,0.00805972585176365,"Significant"
