"","La_Jolla.Reefs","La_Jolla.Reefs.pval","La_Jolla_Cove","La_Jolla_Cove.pval","Mission_Bay","Mission_Bay.pval","Mission_Beach","Mission_Beach.pval","Pacific_Beach","Pacific_Beach.pval","SIO_La_Jolla_Shores","SIO_La_Jolla_Shores.pval","Torrey_Pines","Torrey_Pines.pval","MeanDecreaseAccuracy","MeanDecreaseAccuracy.pval","MeanDecreaseGini","MeanDecreaseGini.pval"
"X91372_906.258_12.697_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one",2.97214528927288,0.00199600798403194,0.957566024015281,0.0538922155688623,2.4397338289038,0.00199600798403194,2.90549535862631,0.00199600798403194,0.765595883677614,0.0558882235528942,2.59251414175412,0.00199600798403194,3.43205842474364,0.00199600798403194,3.64188806662721,0.00199600798403194,0.178158641278161,0.00199600798403194
"X90597_906.258_12.403_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one",2.47343710183952,0.00199600798403194,-0.570652007728177,0.958083832335329,2.88895977225649,0.00199600798403194,2.47843803705414,0.00199600798403194,1.68656932779622,0.00399201596806387,2.14144439612701,0.00199600798403194,2.87729490652152,0.00199600798403194,3.26927974290105,0.00199600798403194,0.10443516095214,0.00199600798403194
"X90743_908.258_12.555_NA..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl..9..hydroxymethyl..2.2.6a.6b.9.12a.hexamethyl.10..3.4.5.trihydroxy.6...3.4.5.trihydroxy.6.methyloxan.2.yl.oxymethyl.oxan.2.yl.oxy.1.3.4.5.6.6a.7.8.8a.10.11.12.13.14b.tetradecahydropicene.4a.carboxylate",2.58548632482997,0.00199600798403194,-1.1353540996263,1,2.53407693219587,0.00199600798403194,2.21571678423603,0.00199600798403194,1.40275209380409,0.00199600798403194,2.54476231798315,0.00199600798403194,2.75279418477516,0.00199600798403194,3.04854564808802,0.00199600798403194,0.112688547853026,0.00199600798403194
"X90429_907.259_12.326_NA..2S.3R.4S.5S.6R..2...2R.3R.4S.5S.6R..2....3S.6S.8R.10R.12R.13R.14R.17S..3.12.dihydroxy.4.4.8.10.14.pentamethyl.17...2S..6.methyl.2...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxyhept.5.en.2.yl..2.3.5.6.7.9.11.12.13.15.16.17.dodecahydro.1H.cyclopenta.a.phenanthren.6.yl.oxy..4.5.dihydroxy.6..hydroxymethyl.oxan.3.yl.oxy.6..hydroxymethyl.oxane.3.4.5.triol",2.86080833906677,0.00199600798403194,-0.0940729193457544,0.966067864271457,1.61169825676575,0.00199600798403194,0.961986401312518,0.0878243512974052,1.49988699421387,0.00199600798403194,0.38981937788912,0.0778443113772455,2.87998577960947,0.00199600798403194,2.97624791633963,0.00199600798403194,0.0955122615496199,0.00199600798403194
"X33200_260.196_4.886_NA",2.13950639210751,0.00199600798403194,1.41389939741034,0.00199600798403194,2.95234797995757,0.00199600798403194,1.4159136794715,0.00798403193612774,1.00100150250438,0.0239520958083832,2.3461417344161,0.00199600798403194,1.71058924980998,0.00199600798403194,2.93403587520524,0.00199600798403194,0.0915012787512788,0.00199600798403194
"X53617_424.868_6.93_NA",0.569731351468295,0.109780439121756,1.73291748303345,0.00199600798403194,2.89988530294075,0.00199600798403194,2.2779355810963,0.00199600798403194,-1.93145693043617,1,1.41285987182396,0.00399201596806387,2.34385729572807,0.00199600798403194,2.92587778755508,0.00199600798403194,0.0902773868436407,0.00199600798403194
"X91133_907.259_12.628_NA.THEAFLAVIN.DIGALLATE",1.80811571644715,0.00199600798403194,-1.00100150250438,1,1.8137929704808,0.00199600798403194,1.67569437926726,0.00199600798403194,0.885678584099061,0.0578842315369262,2.43524964404331,0.00199600798403194,2.23202856856129,0.00199600798403194,2.75482835601435,0.00199600798403194,0.0892797017592858,0.00199600798403194
"X88009_871.572_11.312_Pheophytin.a.Chlorophyll.a",2.1265023180162,0.00199600798403194,1.82374898164165,0.00199600798403194,1.7813141853677,0.00199600798403194,1.81332546491592,0.00199600798403194,1.38942503594182,0.00399201596806387,2.13038546713108,0.00199600798403194,2.74346689106071,0.00199600798403194,2.72933054412808,0.00199600798403194,0.0764920360344554,0.00199600798403194
"X60583_506.326_7.811_NA",1.96255774659771,0.00199600798403194,1.0325202569555,0.00798403193612774,2.30509423583791,0.00199600798403194,1.90179396473498,0.00199600798403194,1.00100150250438,0.06187624750499,-0.633554646814623,0.940119760479042,1.67577548670722,0.00199600798403194,2.70257086593352,0.00199600798403194,0.0662979152070328,0.00199600798403194
"X92112_906.258_12.941_NA..3S.4R..7.hydroxy.3...3S.4R..7.hydroxy.4..4.hydroxyphenyl..2.oxo.5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.3.yl..4..4.hydroxyphenyl..5...2S.3R.4S.5S.6R..3.4.5.trihydroxy.6..hydroxymethyl.oxan.2.yl.oxy.3.4.dihydrochromen.2.one",1.91939817108553,0.00199600798403194,1.00100150250438,0.0578842315369262,1.46371942602215,0.00199600798403194,1.61458420930157,0.00199600798403194,1.40606442787545,0.00399201596806387,1.72585324299494,0.00199600798403194,2.60058051176747,0.00199600798403194,2.66064321544505,0.00199600798403194,0.0713431058225176,0.00199600798403194
"X79387_209.153_10.22_NA.........trans.Nerolidol...40.0.eV",-0.952939409813084,0.894211576846307,2.5593658248106,0.00199600798403194,1.61006778528067,0.00199600798403194,1.41705050316284,0.00199600798403194,1.41285987182396,0.00199600798403194,-1.45309671582019,1,2.22252943610132,0.00199600798403194,2.60802331578703,0.00199600798403194,0.081874386018389,0.00199600798403194
"X86594_755.487_11.127_NA",1.52633261774185,0.00399201596806387,0,0.932135728542914,1.41705050316284,0.00199600798403194,0.267663038042937,0.063872255489022,0,0.956087824351297,2.09770679773611,0.00199600798403194,0.59556726415482,0.12375249500998,2.35797531002194,0.00199600798403194,0.0394722431077694,0.00199600798403194
"X10485_193.119_2.895_NA",1.64612149244552,0.00199600798403194,0.515475415815177,0.0818363273453094,-0.917681389435699,0.890219560878243,1.92415735632622,0.00199600798403194,1.34406227991274,0.00399201596806387,2.18905742819069,0.00199600798403194,2.38001241622979,0.00199600798403194,2.32031815650044,0.00199600798403194,0.0606482988876498,0.00199600798403194
"X72626_514.301_9.484_NA",1.2116835132392,0.00798403193612774,1.99748291896825,0.00199600798403194,1.67131567616219,0.00199600798403194,2.11387956304792,0.00199600798403194,1.36692904431769,0.00598802395209581,1.49555393679974,0.00199600798403194,1.80315408433939,0.00199600798403194,2.23645484400993,0.00199600798403194,0.102560189145544,0.00199600798403194
"X54129_381.808_6.99_NA",1.72530804683901,0.00199600798403194,1.00100150250438,0.0459081836327345,2.20390004397008,0.00199600798403194,1.4159136794715,0.00199600798403194,0,0.958083832335329,1.73291748303345,0.00199600798403194,2.34902563022206,0.00199600798403194,2.2357412667407,0.00199600798403194,0.0506772267449687,0.00199600798403194
"X59188_312.231_7.625_NA",0.993575428837889,0.103792415169661,1.00100150250438,0.0419161676646707,2.24111488951999,0.00199600798403194,1.41705050316284,0.00199600798403194,1.00100150250438,0.0499001996007984,1.4159136794715,0.00798403193612774,1.34406227991274,0.00998003992015968,2.23274429957306,0.00199600798403194,0.0532563942241362,0.00199600798403194
"X64690_225.148_8.37_NA",1.04300777295732,0.0119760479041916,2.40761074217859,0.00199600798403194,1.52143093887172,0.00399201596806387,1.73606136559275,0.00199600798403194,1.99748291896825,0.00199600798403194,-0.974120253186511,0.932135728542914,1.68008924543446,0.00199600798403194,2.17567291711915,0.00199600798403194,0.0539760464379339,0.00199600798403194
"X63776_310.216_8.237_NA",1.67353777226781,0.00199600798403194,1.00100150250438,0.0598802395209581,2.14105141748893,0.00199600798403194,1.73599519885006,0.00199600798403194,1.00100150250438,0.0459081836327345,-1.00100150250438,0.994011976047904,1.00100150250438,0.143712574850299,2.17228596307201,0.00199600798403194,0.0460923711818449,0.00199600798403194
"X83265_249.185_10.686_NA.NCGC00179704.04_C15H24O3_2.Naphthaleneacetic.acid..decahydro.8.hydroxy.4a.8.dimethyl.alpha.methylene.",-1.00100150250438,0.988023952095808,1.65478680091876,0.00199600798403194,-1.00100150250438,0.992015968063872,1.62008671529606,0.00199600798403194,1.41705050316284,0.00199600798403194,-0.328826667278457,0.93812375249501,1.43053762932041,0.00199600798403194,2.1676985855214,0.00199600798403194,0.0428026505658085,0.00199600798403194
