filename	ATTRIBUTE_Sample-Type	ATTRIBUTE_Batch	ATTRIBUTE_Month	ATTRIBUTE_Year	ATTRIBUTE_Sample_Location	ATTRIBUTE_Replicate	ATTRIBUTE_Spot	ATTRIBUTE_Latitude	ATTRIBUTE_Longitude	ATTRIBUTE_Sample_Area	ATTRIBUTE_Spot_Name
SD_10_2018_3_a.mzXML	Sample	3	Oct	2018	3	a	3	32.91927	-117.26452	Torrey_Pines	Torrey_Pines
SD_10_2018_3_b.mzXML	Sample	3	Oct	2018	3	b	3	32.91927	-117.26452	Torrey_Pines	Torrey_Pines
SD_10_2018_4_a.mzXML	Sample	3	Oct	2018	4	a	4	32.91016	-117.2622	Torrey_Pines	Torrey_Pines
SD_10_2018_4_b.mzXML	Sample	3	Oct	2018	4	b	4	32.91016	-117.2622	Torrey_Pines	Torrey_Pines
SD_10_2018_5_a.mzXML	Sample	3	Oct	2018	5	a	5	32.90106	-117.25929	Torrey_Pines	Torrey_Pines
SD_10_2018_5_b.mzXML	Sample	3	Oct	2018	5	b	5	32.90106	-117.25929	Torrey_Pines	Torrey_Pines
SD_10_2018_6_a.mzXML	Sample	3	Oct	2018	6	a	6	32.89303	-117.25866	Torrey_Pines	Torrey_Pines
SD_10_2018_6_b.mzXML	Sample	3	Oct	2018	6	b	6	32.89303	-117.25866	Torrey_Pines	Torrey_Pines
SD_10_2018_7_a.mzXML	Sample	3	Oct	2018	7	a	7	32.88456	-117.25879	Torrey_Pines	Blacks_North_Peak
SD_10_2018_7_b.mzXML	Sample	3	Oct	2018	7	b	7	32.88456	-117.25879	Torrey_Pines	Blacks_North_Peak
SD_10_2018_8_a.mzXML	Sample	3	Oct	2018	8	a	8	32.87627	-117.2557	Torrey_Pines	Blacks_South_Peaks
SD_10_2018_8_b.mzXML	Sample	3	Oct	2018	8	b	8	32.87627	-117.2557	Torrey_Pines	Blacks_South_Peaks
SD_10_2018_9_a.mzXML	Sample	3	Oct	2018	9	a	9	32.86989	-117.25836	SIO_La_Jolla_Shores	SIO_North_Pier
SD_10_2018_9_b.mzXML	Sample	3	Oct	2018	9	b	9	32.86989	-117.25836	SIO_La_Jolla_Shores	SIO_North_Pier
SD_10_2018_PPL_Blank_1.mzXML	Blank	3	Oct	2018	0	a	0	32.867166	-117.257812	Blank	Blank
SD_10_2018_PPL_Blank_2.mzXML	Blank	3	Oct	2018	0	b	0	32.867166	-117.257812	Blank	Blank
SD_12-2017_10_a.mzXML	Sample	1	Dec	2017	10	a	10	32.86261	-117.26042	SIO_La_Jolla_Shores	SIO_South_Pier
SD_12-2017_10_b.mzXML	Sample	1	Dec	2017	10	b	10	32.86261	-117.26042	SIO_La_Jolla_Shores	SIO_South_Pier
SD_12-2017_11_a.mzXML	Sample	1	Dec	2017	11	a	11	32.85601	-117.26253	SIO_La_Jolla_Shores	La_Jolla_Shores
SD_12-2017_11_b.mzXML	Sample	1	Dec	2017	11	b	11	32.85601	-117.26253	SIO_La_Jolla_Shores	La_Jolla_Shores
SD_12-2017_12_a.mzXML	Sample	1	Dec	2017	12	a	12	32.85161	-117.26965	La_Jolla_Cove	Cove
