ID1,ID2,EdgeType,Score,Annotation
3777,3780,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9931
3777,3780,MS1 annotation,3.000,[M+Na]+ [2M-2H2O+2H]2+ dm/z=39.9931
3778,3780,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
3821,3824,MS1 annotation,2.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0037
3843,3848,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9831
3843,3853,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9566
3848,3853,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
3857,3869,MS1 annotation,2.000,[M-H2O+H]+ [M+NH4]+ dm/z=35.0372
3858,3864,MS1 annotation,2.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0477
3859,3865,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
3863,3869,MS1 annotation,2.000,[M+H]+ [M+NH4]+ dm/z=17.0266
3877,3882,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
3967,3968,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
4166,4169,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9820
4195,4199,MS1 annotation,2.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9930
4272,4276,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9564
4298,4301,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9559
4299,4301,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
4299,4301,MS1 annotation,3.000,[M+NH4]+ [2M+2H]2+ dm/z=17.0266
4334,4337,MS1 annotation,4.000,[M+H]+ [M+Na]+ dm/z=21.9824
4334,4336,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
4336,4337,MS1 annotation,4.000,[M+H]+ [M+NH4]+ dm/z=17.0266
4336,4338,MS1 annotation,4.000,[2M-2H2O+2H]2+ [M+NH4]+ dm/z=35.0372
4342,4346,MS1 annotation,2.000,[M-H2O+H]+ [M+Na]+ dm/z=39.9933
4349,4351,MS1 annotation,2.000,[2M+NH4]+ [M+H]+ dm/z=255.1836
4378,4379,MS1 annotation,2.000,[M-H2O+NH4]+ [M+H]+ dm/z=0.9837
4378,4379,MS1 annotation,2.000,[M-H2O+NH4]+ [2M+2H]2+ dm/z=0.9837
4440,4447,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9823
4440,4447,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9823
4478,4486,MS1 annotation,3.000,[M-2H2O+H]+ [M+Na]+ dm/z=58.0040
4478,4485,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9561
4485,4486,MS1 annotation,3.000,[M-2H2O+H]+ [M+NH4]+ dm/z=53.0479
4528,4531,MS1 annotation,2.000,[2M+Na]+ [M-H2O+NH4]+ dm/z=219.1470
4540,4541,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9563
4556,4558,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9827
4556,4557,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9562
4557,4558,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
4579,4588,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
4579,4586,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0263
4586,4588,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
4593,4595,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0264
4593,4598,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
4595,4598,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9822
4628,4635,MS1 annotation,2.000,[M+NH4]+ [M+Na]+ dm/z=4.9560
4644,4648,MS1 annotation,3.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0038
4647,4648,MS1 annotation,3.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9932
4650,4652,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9821
4650,4651,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0263
4676,4689,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9834
4677,4682,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9826
4746,4752,MS1 annotation,4.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0475
4746,4750,MS1 annotation,4.000,[M+Na]+ [M-2H2O+H]+ dm/z=58.0033
4750,4752,MS1 annotation,4.000,[M+NH4]+ [M+Na]+ dm/z=4.9558
4750,4753,MS1 annotation,4.000,[2M+2H]2+ [M+Na]+ dm/z=21.9821
4752,4753,MS1 annotation,4.000,[2M+2H]2+ [M+NH4]+ dm/z=17.0263
4808,4809,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
4840,4842,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0266
4840,4841,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9558
4841,4842,MS1 annotation,3.000,[M+H]+ [M+Na]+ dm/z=21.9824
4874,4876,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9820
4874,4875,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0264
4875,4876,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
4900,4902,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9822
4913,4914,MS1 annotation,2.000,[2M+2H]2+ [M+Na]+ dm/z=21.9816
4916,4917,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9829
4916,4917,MS1 annotation,2.000,[M+Na]+ [2M+2H]2+ dm/z=21.9829
4932,4937,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9827
4950,4959,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
4968,4970,MS1 annotation,8.000,[M-H+2Na]+ [M-H2O+H]+ dm/z=61.9744
4968,4976,MS1 annotation,8.000,[M+Na]+ [M-H2O+H]+ dm/z=39.9925
4968,4989,MS1 annotation,8.000,[2M+Na]+ [M-H2O+H]+ dm/z=596.2845
4968,5023,MS1 annotation,8.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0375
4970,5023,MS1 annotation,8.000,[M+NH4]+ [M-H+2Na]+ dm/z=26.9369
4973,5011,MS1 annotation,8.000,[M+H]+ [2M+NH4]+ dm/z=573.3182
4973,4976,MS1 annotation,8.000,[M+Na]+ [2M+NH4]+ dm/z=551.3363
4976,5011,MS1 annotation,8.000,[M+H]+ [M+Na]+ dm/z=21.9819
4976,5023,MS1 annotation,8.000,[M+NH4]+ [M+Na]+ dm/z=4.9550
4989,5011,MS1 annotation,8.000,[M+H]+ [2M+Na]+ dm/z=578.2740
4989,5023,MS1 annotation,8.000,[M+NH4]+ [2M+Na]+ dm/z=561.2471
5006,5007,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0265
5006,5008,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
5007,5008,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5011,5023,MS1 annotation,8.000,[M+NH4]+ [M+H]+ dm/z=17.0269
5011,5041,MS1 annotation,8.000,[M+Na]+ [M+H]+ dm/z=21.9820
5018,5019,MS1 annotation,2.000,[M+Na]+ [M+H]+ dm/z=21.9819
5023,5041,MS1 annotation,8.000,[M+Na]+ [M+NH4]+ dm/z=4.9551
5032,5033,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5070,5072,MS1 annotation,2.000,[M+Na]+ [M+NH4]+ dm/z=4.9560
5082,5099,MS1 annotation,2.000,[M-H2O+NH4]+ [M+Na]+ dm/z=22.9669
5098,5099,MS1 annotation,2.000,[M+NH4]+ [M-2H2O+H]+ dm/z=53.0476
5103,5113,MS1 annotation,3.000,[M+H]+ [M+NH4]+ dm/z=17.0265
5103,5117,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9559
5113,5117,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9824
5129,5135,MS1 annotation,3.000,[M+NH4]+ [M+H]+ dm/z=17.0266
5129,5136,MS1 annotation,3.000,[M+Na]+ [M+H]+ dm/z=21.9823
5135,5136,MS1 annotation,3.000,[M+Na]+ [M+NH4]+ dm/z=4.9557
5151,5152,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9822
5157,5158,MS1 annotation,2.000,[M+H]+ [M+Na]+ dm/z=21.9820
5171,5176,MS1 annotation,3.000,[M+NH4]+ [M+Na]+ dm/z=4.9554
5174,5176,MS1 annotation,3.000,[M+NH4]+ [M-H2O+H]+ dm/z=35.0374
5174,5176,MS1 annotation,3.000,[M+NH4]+ [2M-2H2O+2H]2+ dm/z=35.0374
