,Sample Name,Assigned Cluster
151,SD_12-2017_24_b.mzXML,4
152,SD_12-2017_25_a.mzXML,4
153,SD_12-2017_25_b.mzXML,4
154,SD_12-2017_26_a.mzXML,4
155,SD_12-2017_26_b.mzXML,4
156,SD_12-2017_27_a.mzXML,4
157,SD_12-2017_27_b.mzXML,4
158,SD_12-2017_28_a.mzXML,4
159,SD_12-2017_28_b.mzXML,4
160,SD_12-2017_29_a.mzXML,4
161,SD_12-2017_29_b.mzXML,4
162,SD_12-2017_2_a.mzXML,4
163,SD_12-2017_2_b.mzXML,4
164,SD_12-2017_30_a.mzXML,4
165,SD_12-2017_30_b.mzXML,4
166,SD_12-2017_3_a.mzXML,4
167,SD_12-2017_3_b.mzXML,4
168,SD_12-2017_4_a.mzXML,4
169,SD_12-2017_4_b.mzXML,4
170,SD_12-2017_5_a.mzXML,4
171,SD_12-2017_5_b.mzXML,4
172,SD_12-2017_6_a.mzXML,4
173,SD_12-2017_6_b.mzXML,4
174,SD_12-2017_7_a.mzXML,4
175,SD_12-2017_7_b.mzXML,4
176,SD_12-2017_8_a.mzXML,4
177,SD_12-2017_8_b.mzXML,4
178,SD_12-2017_9_a.mzXML,4
179,SD_12-2017_9_b.mzXML,4
