"","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A15M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A45M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_A5M_Pos_MS2_rep3.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep1.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep2.mzML","DOM_Interlab-LCMS_Lab15_M_Pos_MS2_rep3.mzML"
"2461_286.165_7.536",43551.64,118372.96,82987.4,33212.01,37150.934,72492.22,93058.73,29384.979,50985.15,27611.16,39197.348,90175.27
"1961_286.18_6.915",136487.38,129564.125,146223.33,77646.94,73430.26,66068.68,153412.53,159811.39,139804.31,151236.36,148193.61,153714.75
"1798_286.18_6.709",126864.67,162313.77,145340.23,29432.047,51374.19,33903.453,137116.28,119274.12,134574.62,106531.72,103008.81,128225.89
"4428_286.274_11.366",336068.7,374874.16,346185.9,527584.75,538061.9,526675.3,304902.53,322782.03,310341.66,339079.97,298702.7,340285
"2889_287.055_8.26",430377.38,455441.16,495594.62,227161.7,282469.84,328360.44,441396.84,475008.8,480630.25,429738.8,463587.9,473440.94
"1022_287.139_5.896",109506.99,77414.52,63500.96,72564.5,72154.516,69233.86,94448.98,47664.098,57150.29,120017.94,57794.59,111684.15
"5216_287.164_12.356",35019.137,36617.707,38524.633,129358.375,102977.03,156884.66,18575.488,23643.613,18717.137,16852.291,17460.018,9430.752
"5330_287.201_12.462",287317.12,312247.47,288712.12,121277.05,108411.97,107827.984,263721.03,226218.14,232009.47,272624,263428.62,247359.16
"6069_287.222_13.117",199892.33,194941.7,175468.17,240048.25,267768.03,211498.16,147052.03,135935.72,159878.75,133399.81,172801.48,148547.31
"5037_287.222_12.152",31911.104,33168.12,32388.602,6393.547,5435.5234,10899.813,37213.703,38331.156,43214.312,42601.156,44194.88,48653.207
"2686_288.181_7.902",75064.54,66898.41,70490.8,160592.4,125830.8,160437.84,42988.51,49992.723,50717.867,44094.72,58237.824,49692.355
"2177_288.181_7.146",38108.375,39490.55,42535.47,206227.52,215539.39,204276.81,8338.24,10078.487,11174.698,0,0,0
"2159_288.196_7.12",113171.47,48357.168,129222.19,56190.668,40799.586,89379.76,143748.44,104210.65,91278.38,97870.836,93899.16,152652.62
"4022_288.29_10.76",37992880,37213408,37177876,40531828,40070872,39040188,34766416,34726248,33529896,32838598,33153130,32085020
"3909_288.29_10.609",22804104,22543728,23490668,23217380,23867358,24092358,21177364,21221482,21226128,19609616,19662620,19554038
"3799_288.29_10.447",10444762,10656345,10605833,10559483,10568964,10759910,9252142,9347521,9542183,8713578,8876084,8923564
"142_289.09_0.815",65441.242,62253.895,58510.684,33402.297,68406.12,63614.766,24621.668,44236.984,28892.172,31206.902,24493.105,24967.152
"271_289.09_1.409",14898.331,25256.375,48754.742,17988.01,19137.043,69144.4,14356.556,18781.674,40537.51,14168.844,25022.564,36658.66
"571_289.118_5.138",53040.88,61180.02,52850.703,193797.16,197923.14,216973.64,212335.88,42103.164,44372.633,93823.94,51209.33,45321.684
"549_289.126_5.077",100684.234,105185.89,107846.61,141721.72,148758.1,171486.62,67393.984,77073.836,81939.555,69855.63,85140.336,76285.21
"183_289.14_1.025",63142.445,79488.78,84485.836,103823.56,87666.45,39956.934,61664.695,35581.156,39785.273,65319.586,50913.1,22244.11
"1818_289.155_6.731",49755.7,40927.18,40475.65,113801.91,109408.11,108590.055,20848.895,31140.7,21509.322,18741.27,19207.27,22031.338
"1431_289.155_6.331",129042.39,138096.06,147044.97,21396.117,36664.633,26495.033,125698.32,119225.98,117445.4,169365.08,108362.82,119859.01
"729_289.155_5.485",108831.96,280927.56,114907.27,30833.898,30433.293,36037.51,229251.34,88646.55,234469.94,279178.72,204856.31,106744.1
"1106_289.155_6.007",230039.66,128774.266,214232.58,105963.2,29446.934,122037.484,180879.88,190244.58,196417.52,110849.414,191204.88,182453.4
"702_289.176_5.444",27108.6,30489.17,25857.975,86074.836,88229.36,97594.24,16413.527,15974.732,15628.463,16089.141,21156.846,18242.3
"1311_289.176_6.21",173189.34,120410.234,134884.25,0,671001.1,410238.9,87008.836,77304.94,74874.945,72730.266,69772.13,63887.832
"1206_289.176_6.121",2015116.9,1924756.5,2198815.5,7279422.5,7449214,7025457.5,532141.8,544119,543004.2,180142.81,211960.94,184821.06
