Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X2716_252.123_1.231_nan,36.589038754227985,177.1243975486714,two-sided,1.6966872049824882e-84,[1.83 2.04],4.638502493481249,5.035e+80,1.0,1.5426280067700781e-80,True
X4504_301.175_2.04_nan,37.11559119942826,171.3928143913658,two-sided,7.579157665771707e-84,[1.85 2.06],5.020726708630721,4.696e+81,1.0,3.4454850748598176e-80,True
X61401_256.19_7.915_nan;methyl (Z)-tetradec-9-enoate,34.80592938768564,110.72449229178302,two-sided,1.8612027749358773e-61,[1.87 2.1 ],5.639909843672598,2.174e+77,1.0,5.6406852099056656e-58,True
X44803_456.274_5.953_nan,-23.6150730887468,177.94068558575333,two-sided,9.921469905794218e-57,[-1.89 -1.6 ],3.029966942139393,8.928e+52,1.0,2.255150109587026e-53,True
X68756_402.3_8.994_nan,-22.3733763449276,156.8832155653524,two-sided,1.1184389807261935e-50,[-1.81 -1.52],2.6618779352296924,7.17e+49,1.0,2.0337694425525103e-47,True
X55608_504.332_7.175_nan,-21.551533974843434,169.45214683376946,two-sided,2.0247935775746451e-50,[-1.88 -1.57],2.9369801264322413,5.781e+47,1.0,3.0682372012181125e-47,True
X50281_412.284_6.645_nan,-23.481397533537397,135.299660329046,two-sided,1.440322229182368e-49,[-1.81 -1.53],2.6902885909593817,4.183e+52,1.0,1.8707728153894412e-46,True
X58151_402.3_7.524_nan,-19.049383489725653,177.5960336834761,two-sided,8.75181638009673e-45,[-1.78 -1.45],2.4827399847212686,1.495e+41,1.0,9.946439315979934e-42,True
X68138_334.237_8.886_nan,26.73862013174318,89.58032324519664,two-sided,1.7773594559313327e-44,[1.79 2.08],4.726249395024199,2.381e+60,1.0,1.795528019258631e-41,True
X53588_469.306_6.926_nan,-19.872299818709784,153.78184286276107,two-sided,2.5227479853012957e-44,[-1.74 -1.42],2.350199181920137,2.374e+43,1.0,2.293682468235938e-41,True
X82136_323.221_10.554_nan,18.55764570912187,171.1894130324705,two-sided,7.706953622475266e-43,[1.45 1.8 ],2.5123793859381514,6.981e+39,1.0,6.370147485049556e-40,True
X2451_195.113_1.111_nan,24.909526487467485,89.22234801668422,two-sided,5.982962564613075e-42,[1.76 2.07],4.410786953452861,1.231e+56,1.0,4.53309130312184e-39,True
X29703_256.19_4.659_nan,-19.61252925227892,132.50839929767704,two-sided,5.26841117675889e-41,[-1.7  -1.39],2.236981621431416,4.834e+42,1.0,3.684645724545525e-38,True
X60853_402.3_7.84_nan,-17.74210979579052,163.3823640117379,two-sided,6.103617539598926e-40,[-1.79 -1.43],2.466809081629166,4.106e+37,1.0,3.9638636192881026e-37,True
X60937_412.165_7.857_nan,-17.59625598167495,163.65782551962198,two-sided,1.40168368242974e-39,[-1.67 -1.34],2.1239879492934355,1.627e+37,1.0,8.496072027100798e-37,True
X4925_355.073_2.127_nan,21.448309939378355,100.37950270137516,two-sided,2.8657245672922347e-39,[1.66 2.  ],3.6125997305110933,3.137e+47,1.0,1.6284479853638123e-36,True
X66448_406.25_8.625_nan,-18.88659361211462,127.17484684533902,two-sided,1.0278009398002247e-38,[-1.67 -1.35],2.1360079609033487,5.436e+40,1.0,5.496921261566849e-36,True
X57805_551.347_7.455_nan,-18.7586435955574,128.64392338307508,two-sided,1.2570405235315242e-38,[-1.66 -1.35],2.1264759458240956,2.45e+40,1.0,6.34945135552701e-36,True
X49672_311.148_6.48_nan;zawadskinolide C,-16.785794007390127,175.77603749365952,two-sided,2.3329835971531819e-38,[-1.68 -1.32],2.107793958177538,9.182e+34,1.0,1.1163940455429858e-35,True
X44225_592.384_6.008_nan,-18.90974036395683,123.94360838901622,two-sided,2.467219849843413e-38,[-1.66 -1.35],2.1277428167491834,6.278e+40,1.0,1.1215981437388155e-35,True
X2683_243.134_1.201_nan,21.212191134706334,96.07766139767334,two-sided,5.018633125484069e-38,[1.66 2.01],3.6379655218355054,7.714e+46,1.0,2.1728291608048168e-35,True
X46839_344.222_6.162_nan,-17.636442759041522,144.36609616100333,two-sided,7.727625352160701e-38,[-1.64 -1.31],2.0510987164956718,2.1e+37,1.0,3.080925293115837e-35,True
"X62200_208.133_8.026_nan;""methyl 3-oxo-2-[(3,4,5-trimethoxyphenyl)methylene]benzo[b]furan-5-carboxylate CollisionEnergy:102040""",-16.84955864318829,166.48902110491605,two-sided,8.132666853803352e-38,[-1.65 -1.3 ],2.0479260397608754,1.383e+35,1.0,3.080925293115837e-35,True
X62216_346.204_8.025_nan,-18.519786142448176,126.4427696751575,two-sided,7.971920381502694e-38,[-1.65 -1.33],2.0921012166845636,5.509e+39,1.0,3.080925293115837e-35,True
X47962_263.127_6.242_nan,-16.549037305371993,175.30409824172628,two-sided,1.1712248079281123e-37,[-1.66 -1.31],2.0727208969174487,2.002e+34,1.0,4.2595103814729586e-35,True
X48471_410.253_6.348_nan,-17.36210669647748,143.57212530069467,two-sided,4.3352651406572665e-37,[-1.63 -1.3 ],2.0164795082818463,3.668e+36,1.0,1.5160088714944565e-34,True
X62539_468.978_8.06_nan,-18.50013470469504,119.11485853212582,two-sided,7.978635110666066e-37,[-1.64 -1.33],2.0658538798574115,4.871e+39,1.0,2.6867314972657726e-34,True
X23179_222.135_4.384_nan,-17.607902762524862,134.15321756833603,two-sided,1.0871102956305372e-36,[-1.63 -1.3 ],2.0136362365391043,1.752e+37,1.0,3.4239790708543342e-34,True
X12925_223.133_3.157_nan,18.02904366721766,125.91670665709213,two-sided,1.0921182694102034e-36,[1.51 1.88],2.7833279150187002,2.52e+38,1.0,3.4239790708543342e-34,True
X79472_328.248_10.17_nan,23.666127443069342,75.17387786371447,two-sided,1.413575653563897e-36,[1.76 2.09],4.553983559335725,1.192e+53,1.0,4.28407661406765e-34,True
X1853_495.226_0.873_nan,23.12486619084299,76.84261988353798,two-sided,2.3638055288063777e-36,[1.75 2.08],4.398790147106745,5.477e+51,1.0,6.93281286061535e-34,True
X64444_402.3_8.2_nan,-16.44689459022354,159.71314685862657,two-sided,3.4121693312345353e-36,[-1.62 -1.27],1.9680835479362995,1.036e+34,1.0,9.694826112370123e-34,True
X75229_396.289_9.793_nan,-16.85345115771629,146.45228131105563,two-sided,4.146553640992009e-36,[-1.62 -1.28],1.9670591688247214,1.418e+35,1.0,1.1424383546636166e-33,True
X66445_408.248_8.626_nan,-17.76364242542534,124.69761989824337,two-sided,5.8505326929352675e-36,[-1.62 -1.3 ],2.001161731137961,4.706e+37,1.0,1.564501271887278e-33,True
X68966_356.222_9.029_nan,18.45627896333179,112.27954104233442,two-sided,8.545686823209551e-36,[1.54 1.92],2.974686080580135,3.701e+39,1.0,2.2199252741891782e-33,True
X87522_432.31_11.375_nan,23.944737820877762,69.65767553461396,two-sided,2.4244505301418134e-35,[1.78 2.1 ],4.807935973388044,5.738e+53,1.0,6.123084505569269e-33,True
X82605_404.279_10.609_nan,18.955049098224194,102.64647926085951,two-sided,2.643091566175323e-35,[1.58 1.95],3.164027043322644,8.32e+40,1.0,6.491130974648392e-33,True
X73159_320.222_9.561_nan,23.211125410975782,72.50043289034778,two-sided,2.712967191340067e-35,[1.76 2.09],4.555330071182646,8.97e+51,1.0,6.491130974648392e-33,True
X65285_614.452_8.454_nan,-16.484685956160305,144.15404669948484,two-sided,5.56663248802375e-35,[-1.6  -1.26],1.9164605296855346,1.322e+34,1.0,1.2652955645277983e-32,True
X22217_370.207_4.026_nan,23.718885880270903,69.31334526566536,two-sided,5.494245045029656e-35,[1.78 2.1 ],4.77649736560958,1.606e+53,1.0,1.2652955645277983e-32,True
X84235_404.279_10.859_nan,24.030978655634172,67.80908500515902,two-sided,6.814561824967371e-35,[1.79 2.11],4.903430240558956,9.315e+53,1.0,1.5111706368927643e-32,True
X2507_291.154_1.114_nan,23.550828179096083,68.80911923210614,two-sided,1.1902642412266705e-34,[1.78 2.1 ],4.7632500027484745,6.203e+52,1.0,2.5766386860078304e-32,True
X77043_514.283_9.995_nan,20.367463188167584,85.25668630725491,two-sided,1.6698088955829763e-34,[1.66 2.02],3.681842973624683,4.83e+44,1.0,3.530674995032656e-32,True
X76653_330.263_9.947_nan,20.722770847617983,82.4968342935034,two-sided,1.9007932939389241e-34,[1.68 2.03],3.8047263088294128,4.123e+45,1.0,3.927730142839249e-32,True
X70794_512.358_9.285_nan,16.959399581860275,126.33812431859651,two-sided,2.3393891606153602e-34,[1.46 1.84],2.6149441679184293,2.797e+35,1.0,4.726605832958857e-32,True
X23412_184.133_4.128_nan,18.483025577104602,102.06485832750653,two-sided,2.4156863833813477e-34,[1.56 1.94],3.0922762814098803,4.376e+39,1.0,4.774656651674612e-32,True
X2606_228.159_0.947_nan,18.09432685743105,106.51521774616903,two-sided,2.884400690168582e-34,[1.54 1.92],2.976417196877369,3.804e+38,1.0,5.579781079789946e-32,True
X2590_529.187_1.159_nan,20.46148540206398,83.37020607148632,two-sided,2.988448594278174e-34,[1.67 2.03],3.7379128324599344,8.531e+44,1.0,5.660619712328575e-32,True
X71991_476.255_9.428_nan,-16.886772103133183,124.12955261394175,two-sided,5.911615612588003e-34,[-1.59 -1.25],1.9006738182239842,1.756e+35,1.0,1.0969063091765331e-31,True
X51891_575.369_6.725_nan,-15.339953800880977,169.64174959809122,two-sided,7.094437523820719e-34,[-1.59 -1.23],1.880682868253128,7.877e+30,1.0,1.2900525193315595e-31,True
X33891_388.248_5.191_nan,-15.27980899936466,166.93250917301225,two-sided,1.5545560840184094e-33,[-1.58 -1.22],1.8592658527388746,5.321e+30,1.0,2.7713772384108584e-31,True
X59113_344.258_7.612_nan,-16.71475517553403,121.01971214926793,two-sided,3.110632613272612e-33,[-1.57 -1.24],1.8721072664789573,5.817e+34,1.0,5.438821484591267e-31,True
X77531_200.201_10.047_Spectral Match to Lauric acid leelamide from NIST14;Spectral Match to Palmitamide from NIST14,-16.23860138090336,124.53427970517514,two-sided,1.5435956089197432e-32,[-1.56 -1.22],1.8288869612293972,2.7e+33,1.0,2.6479945804336425e-30,True
X57430_342.243_7.403_nan,-16.19589859760062,124.93598834146447,two-sided,1.7596000591924014e-32,[-1.56 -1.22],1.825234073242692,2.049e+33,1.0,2.9626451366995025e-30,True
X47699_339.144_6.259_nan,-15.468620174108699,143.29307849878407,two-sided,2.3274107587272852e-32,[-1.55 -1.2 ],1.795719439213553,1.822e+31,1.0,3.847421566972451e-30,True
X27279_317.178_4.439_nan,20.56837669190276,73.98177783519122,two-sided,2.5037386219789563e-32,[1.69 2.06],3.992046989613264,1.627e+45,1.0,4.064998491255834e-30,True
X48352_383.17_6.379_nan,-14.886827113153165,161.25171084267177,two-sided,4.321009763340028e-32,[-1.55 -1.19],1.7872609212551847,4.08e+29,1.0,6.892389608471497e-30,True
X57835_194.154_7.456_nan,15.11075044996241,146.60820256888258,two-sided,1.0716116195693795e-31,[1.33 1.73],2.2021997885231355,1.764e+30,1.0,1.6798435939870343e-29,True
X60059_496.342_7.78_nan,-15.428883274325157,135.9358733959479,two-sided,1.1413258197632494e-31,[-1.54 -1.19],1.7695210706190057,1.407e+31,1.0,1.7588024327605872e-29,True
X56323_356.258_7.263_nan,-14.461966559740528,166.6826726503986,two-sided,3.073017660352054e-31,[-1.54 -1.17],1.7586093349862555,2.522e+28,1.0,4.656646094653479e-29,True
X64135_338.305_8.289_nan,16.81653060319731,102.18459302316003,two-sided,3.3868752538814716e-31,[1.5 1.9],2.8121409357333613,1.119e+35,1.0,5.0481098046377605e-29,True
X83984_418.294_10.882_nan,21.92687400357711,62.92281065587573,two-sided,3.6405100735588125e-31,[1.76 2.11],4.694663282143804,5.279e+48,1.0,5.338631869160762e-29,True
X53455_336.18_6.908_nan;Massbank:FIO00837 Cycloheximide,-15.575341600352319,124.33049385190311,two-sided,5.302454115635088e-31,[-1.53 -1.18],1.7536228532304698,3.652e+31,1.0,7.652367114183208e-29,True
X64405_517.165_8.33_nan,-14.238288519868822,171.04551902326202,two-sided,7.598235904907483e-31,[-1.54 -1.17],1.753242873040505,5.811e+27,1.0,1.0794243882409192e-28,True
X32483_317.178_4.891_nan,19.076341133008622,76.41515606444088,two-sided,8.686216575557435e-31,[1.64 2.03],3.63923292045514,1.767e+41,1.0,1.2150012477687416e-28,True
X48028_487.316_6.291_nan,-14.99749954712516,138.0210418247557,two-sided,9.034539267280001e-31,[-1.52 -1.17],1.7258832902752437,8.415e+29,1.0,1.2445762275471179e-28,True
X44111_228.159_5.888_nan,20.656446841837305,66.89514749300385,two-sided,9.702671382898488e-31,[1.72 2.08],4.250173761456023,2.766e+45,1.0,1.3166669882584038e-28,True
X49468_305.137_6.479_nan,-14.379466995139133,160.90148794426878,two-sided,1.1149261172441666e-30,[-1.53 -1.16],1.7250407831441796,1.468e+28,1.0,1.4907218026447003e-28,True
X4601_198.112_2.061_nan,17.360297355515836,91.01913338742618,two-sided,1.2500671789622607e-30,[1.54 1.94],3.0470916747179935,3.626e+36,1.0,1.6471899697282427e-28,True
X66937_222.149_8.708_nan,-14.039036244019924,177.98375235656584,two-sided,1.2686480894683922e-30,[-1.58 -1.19],1.8131273138515576,1.57e+27,1.0,1.6477926327780889e-28,True
X48277_279.122_6.324_nan,-13.979906313629547,176.74791517342726,two-sided,2.161426781916723e-30,[-1.55 -1.17],1.7666960507120908,1.065e+27,1.0,2.7678439860826546e-28,True
"X47487_311.148_6.238_nan;methyl 10-hydroxy-5-methyl-2-(propan-2-yl)-11,12-dioxatricyclo[5.3.2.0�,?]dodec-8-ene-8-carboxylate",-13.888779040822659,176.26498477406372,two-sided,4.186457306911362e-30,[-1.59 -1.19],1.8330744596047137,5.851e+26,1.0,5.22120683503224e-28,True
X42015_203.081_5.709_nan,-14.582946088869024,143.26264224701868,two-sided,4.19212603340688e-30,[-1.51 -1.15],1.6928165664378925,5.575e+28,1.0,5.22120683503224e-28,True
X4932_252.123_2.192_nan,16.856747883140855,93.35832467807302,two-sided,4.489839883758544e-30,[1.52 1.92],2.9263765063394747,1.448e+35,1.0,5.516435705828741e-28,True
X53725_428.255_6.944_nan,-13.898526227900014,173.3847568503544,two-sided,5.403782196056315e-30,[-1.53 -1.15],1.7257682279926179,6.238e+26,1.0,6.550825030205869e-28,True
X3989_352.196_1.913_nan,17.80909646546702,82.00174115150233,two-sided,6.474109718944933e-30,[1.58 1.98],3.2792628288374734,6.276e+37,1.0,7.74507967955886e-28,True
X31482_285.169_4.809_nan,21.051531148155565,61.691024935663314,two-sided,7.449037578738833e-30,[1.74 2.11],4.569318779036899,2.958e+46,1.0,8.795668787778372e-28,True
X21913_502.991_3.998_nan,-13.781950685257629,176.5540175740846,two-sided,8.27237200121211e-30,[-1.54 -1.16],1.7391836610285565,2.899e+26,1.0,9.642616183976987e-28,True
X78609_367.284_10.14_nan,17.62160259386023,82.97706795399725,two-sided,8.823113949294247e-30,[1.58 1.98],3.2263731049043525,1.911e+37,1.0,1.0154398990757378e-27,True
X60905_404.279_7.852_nan,15.031510241683856,124.45921345509186,two-sided,9.376188294487516e-30,[1.37 1.78],2.330642654409583,1.051e+30,1.0,1.0656037996685062e-27,True
X54618_490.316_7.051_nan,-14.449036068310672,142.15036950334164,two-sided,1.0988173336807498e-29,[-1.5  -1.14],1.6741434375447997,2.317e+28,1.0,1.2333885429414047e-27,True
X55310_377.159_7.159_nan,-15.09649671050699,120.67608925294736,two-sided,1.4256800927841743e-29,[-1.5  -1.15],1.6899404936647462,1.607e+30,1.0,1.5617208919992426e-27,True
X78965_447.272_10.193_nan,15.09055889594106,120.83238097505482,two-sided,1.4242459729144678e-29,[1.38 1.79],2.365743786577333,1.546e+30,1.0,1.5617208919992426e-27,True
X64541_498.321_8.349_nan,17.452152191728427,83.10573773218357,two-sided,1.5825224739851923e-29,[1.57 1.97],3.1929883519036526,6.509e+36,1.0,1.6927405098203966e-27,True
X48618_377.243_6.368_nan,-14.327796134250963,144.49379499705853,two-sided,1.570614904023068e-29,[-1.5  -1.13],1.6666686099054266,1.046e+28,1.0,1.6927405098203966e-27,True
X53407_319.154_6.894_nan,-13.628316545546578,177.5379145381193,two-sided,2.0821253463342702e-29,[-1.54 -1.15],1.735360835217513,1.056e+26,1.0,2.2012422847524632e-27,True
X58017_590.405_7.475_nan,19.61402397656764,66.4540788137895,two-sided,2.420358269919691e-29,[1.69 2.07],4.0523737525344945,4.879e+42,1.0,2.5294134931160728e-27,True
X54553_358.237_6.996_nan,-14.954395442565254,121.43819490469951,two-sided,2.5807068073809684e-29,[-1.49 -1.14],1.6760473827801754,6.348e+29,1.0,2.666339351444064e-27,True
X80606_473.362_10.222_nan,13.845496738482286,161.73331570374333,two-sided,2.9706157283479053e-29,[1.23 1.64],1.9346334082508683,4.402e+26,1.0,3.034700921588669e-27,True
X49587_294.133_6.474_nan,-14.203739643832556,144.19044872636235,two-sided,3.437142851659002e-29,[-1.49 -1.13],1.6513864974740868,4.631e+27,1.0,3.472278089698183e-27,True
X88098_905.522_11.552_nan,19.99278440669806,63.65966741366296,two-sided,3.890220547021723e-29,[1.71 2.09],4.247072469305261,4.955e+43,1.0,3.886800572914451e-27,True
X2515_223.108_1.097_nan,16.330762031223873,93.41704079300533,two-sided,4.0507232006656223e-29,[1.49 1.91],2.834300418934605,4.898e+33,1.0,4.003171232657809e-27,True
X36353_422.253_5.174_nan,17.239000969781078,81.86882222583576,two-sided,5.627845099693737e-29,[1.56 1.97],3.176779060379016,1.673e+36,1.0,5.501975015743597e-27,True
X79694_685.355_10.267_nan,16.5847739902259,89.02253278673169,two-sided,5.728876213686891e-29,[1.52 1.93],2.939640164613527,2.52e+34,1.0,5.5411640994511926e-27,True
X48225_333.169_6.347_nan,-14.252417918778752,138.50224665185462,two-sided,6.132042938150465e-29,[-1.48 -1.12],1.6414312900539405,6.376e+27,1.0,5.8686878309120024e-27,True
X85037_386.268_10.898_nan,19.431170600497914,65.22547382462204,two-sided,7.938388336082737e-29,[1.69 2.08],4.0624743537168415,1.584e+42,1.0,7.518315286631693e-27,True
X26783_198.95_4.416_nan,-13.699989147880002,159.50207179302902,two-sided,9.795740627146877e-29,[-1.49 -1.11],1.638657076355878,1.692e+26,1.0,9.181739565156639e-27,True
X48273_426.239_6.325_nan,-14.675776944228847,121.8890151296453,two-sided,1.0361393396910586e-28,[-1.48 -1.13],1.6459906531366573,1.024e+29,1.0,9.61283558823582e-27,True
X43268_237.075_5.814_nan,18.148498822417583,71.53725658078812,two-sided,1.7434335759610796e-28,[1.63 2.03],3.588602146717993,5.352e+38,1.0,1.6011412194583974e-26,True
X80044_267.195_10.311_nan,15.171458704786216,106.34722007991657,two-sided,2.3239658890741177e-28,[1.41 1.83],2.497166533852229,2.623e+30,1.0,2.1129497863461877e-26,True
X47651_375.179_6.255_nan,-13.899188507953927,142.26704676009192,two-sided,2.7729460021350893e-28,[-1.47 -1.1 ],1.6107494740060118,6.265e+26,0.9999999999999999,2.496200500139825e-26,True
X16476_332.206_3.657_nan,18.921188835868495,65.33698044220665,two-sided,3.2823252298716817e-28,[1.67 2.07],3.9515078619261192,6.741e+40,1.0,2.925774606862091e-26,True
X26805_200.948_4.419_nan,-13.703410805851048,147.05254512738207,two-sided,4.6289168882473445e-28,[-1.47 -1.1 ],1.6010666039536687,1.73e+26,0.9999999999999998,4.08603032504319e-26,True
"X70265_280.19_9.218_nan;NCGC00168921-02!7-methyl-3-methylidene-6-(3-oxobutyl)-4,7,8,8a-tetrahydro-3aH-cyclohepta[b]furan-2-one",15.218752141724732,101.15750690942018,two-sided,6.588306798531831e-28,[1.42 1.85],2.5553310756051726,3.572e+30,1.0,5.724382688702067e-26,True
X86621_432.31_11.145_nan,17.99020630587954,69.74142561228163,two-sided,6.6108687012067425e-28,[1.63 2.03],3.609764518622529,1.972e+38,1.0,5.724382688702067e-26,True
X51_309.974_0.544_nan,16.745566158465564,79.90902200894989,two-sided,7.3813920999840295e-28,[1.55 1.97],3.122709285448564,7.091e+34,1.0,6.331284620099509e-26,True
X64271_468.978_8.312_nan,-14.380349200660724,119.00179446199928,two-sided,8.603264163696901e-28,[-1.46 -1.11],1.6055231093307847,1.476e+28,0.9999999999999998,7.310362409003012e-26,True
X70612_308.221_9.262_nan,17.95123506576382,69.27555936831772,two-sided,9.275555285111933e-28,[1.63 2.04],3.6161754742286285,1.542e+38,1.0,7.808643393725712e-26,True
X7437_223.144_2.536_nan,16.512296348404806,81.28387050023906,two-sided,1.0803600815083648e-27,[1.54 1.96],3.0534776661046954,1.58e+34,1.0,8.929667146430958e-26,True
X47097_351.143_6.168_nan,-13.45496107567143,152.33257948067092,two-sided,1.0801740031382834e-27,[-1.46 -1.09],1.5869582401119209,3.38e+25,0.9999999999999994,8.929667146430958e-26,True
X77646_685.355_10.045_nan,16.993886917852674,76.18079419519214,two-sided,1.2350657806311978e-27,[1.57 1.99],3.247171509566206,3.488e+35,1.0,1.0116412682431397e-25,True
X75991_510.378_9.878_nan,13.162314959822076,165.42478716234703,two-sided,1.57337967928122e-27,[1.18 1.59],1.8184038483426637,4.939e+24,1.0,1.2772471467879333e-25,True
X1677_513.237_0.849_nan,18.66151848415017,63.41428571969985,two-sided,1.891005790656871e-27,[1.67 2.07],3.9745509209560783,1.336e+40,1.0,1.5215066060754222e-25,True
X4412_264.123_2.028_nan,15.377797179375461,94.345678132229,two-sided,1.9114113125225465e-27,[1.45 1.88],2.6576688621090625,1.008e+31,1.0,1.5244343555662275e-25,True
X23429_239.102_4.142_nan,-13.693623400804173,137.1074222599149,two-sided,1.9437849811707028e-27,[-1.45 -1.09],1.5734921581930852,1.622e+26,0.999999999999999,1.5367733085916548e-25,True
X63073_224.164_8.132_nan,-13.359778672733999,150.7904287256562,two-sided,2.343185596766189e-27,[-1.45 -1.08],1.5712968176095397,1.808e+25,0.9999999999999989,1.8365727108446718e-25,True
X37807_416.279_5.426_nan,15.697761645129708,88.76211773998182,two-sided,2.4070384186082032e-27,[1.48 1.91],2.7860618335710226,8.098e+31,1.0,1.8704951540158789e-25,True
X44847_710.41_5.955_nan,-12.921079224066675,174.56310861698074,two-sided,3.119612019449036e-27,[-1.49 -1.09],1.6124823250857696,1.013e+24,0.9999999999999999,2.403687498375478e-25,True
X51748_426.239_6.713_nan,-13.842803794536831,125.73256979931841,two-sided,4.789071557477809e-27,[-1.44 -1.08],1.5620094196898353,4.325e+26,0.9999999999999981,3.659011647108255e-25,True
X76005_584.342_9.883_nan,15.983756755248589,82.73282438565622,two-sided,5.0695405886611105e-27,[1.51 1.94],2.930622299151176,5.186e+32,1.0,3.8410219193422346e-25,True
X44265_372.253_5.903_nan,-13.39149509628029,143.0208160567923,two-sided,5.13004055778425e-27,[-1.44 -1.07],1.5538778083766402,2.227e+25,0.9999999999999972,3.854737913336728e-25,True
X58400_462.284_7.524_nan,15.389194268857327,90.51941893471256,two-sided,5.295583493473917e-27,[1.46 1.89],2.707653243063446,1.086e+31,1.0,3.946511895300398e-25,True
X48420_340.175_6.209_nan,-13.382337031477105,141.4479935250883,two-sided,6.655777314060985e-27,[-1.44 -1.07],1.5487341629174964,2.097e+25,0.9999999999999964,4.919864011336787e-25,True
X4277_249.123_1.831_nan,14.142781391516397,114.14904176213726,two-sided,7.467352524815282e-27,[1.33 1.77],2.2651636784910543,3.104e+27,1.0,5.475255577066172e-25,True
X48367_379.259_6.333_nan,-13.524119451296334,134.18259156585356,two-sided,7.893725848641791e-27,[-1.44 -1.07],1.5466885866451432,5.325e+25,0.999999999999996,5.741580433268093e-25,True
X2075_245.12_0.974_nan,17.768355945906077,65.81121058437178,two-sided,8.252497749688219e-27,[1.64 2.05],3.693639322924408,4.848e+37,1.0,5.954897582552801e-25,True
X35_192.062_0.547_nan,14.089046693183345,113.94677452432013,two-sided,1.0241432379783979e-26,[1.33 1.77],2.2580782356514124,2.181e+27,1.0,7.331897889527239e-25,True
X2905_264.159_1.346_nan,13.390210920860053,137.79486408597836,two-sided,1.0359683745252207e-26,[1.24 1.67],1.9986917323640674,2.208e+25,1.0,7.358612860299458e-25,True
X26997_240.196_4.395_nan,-13.60573689376186,127.6644513713367,two-sided,1.3125088137076675e-26,[-1.43 -1.07],1.5399535205787713,9.105e+25,0.9999999999999944,9.179484718638548e-25,True
X49680_269.138_6.483_nan,-12.73451091914294,172.40228488244836,two-sided,1.307932921899117e-26,[-1.47 -1.07],1.5753667468773496,2.977e+23,0.9999999999999991,9.179484718638548e-25,True
X47653_281.138_6.231_nan,-12.727248904661035,172.50201246837193,two-sided,1.359850291933192e-26,[-1.55 -1.13],1.7137343396040434,2.839e+23,1.0,9.437983858211132e-25,True
X66238_650.426_8.595_nan,-13.316605594159016,137.26539569902874,two-sided,1.7115217505600527e-26,[-1.43 -1.06],1.5305633334011055,1.361e+25,0.9999999999999912,1.1788754360675757e-24,True
X48814_425.18_6.385_nan,-12.79194620628875,164.68731291883216,two-sided,1.854497292601652e-26,[-1.45 -1.06],1.5478317063290818,4.34e+23,0.9999999999999962,1.2677510815288887e-24,True
X87757_587.06_11.432_nan,18.672282951182687,59.0376596855754,two-sided,1.8837443593716098e-26,[1.69 2.1 ],4.185002471701602,1.429e+40,1.0,1.278134605627364e-24,True
X47838_269.138_6.2_nan,-12.603685176497557,177.92295599002847,two-sided,1.9262066423394863e-26,[-1.5  -1.09],1.6321100824742396,1.263e+23,1.0,1.2972645031222674e-24,True
X66865_573.267_8.695_nan,-13.40298289753763,132.72419254524453,two-sided,1.9493913408991966e-26,[-1.43 -1.06],1.5292557017407886,2.402e+25,0.9999999999999907,1.3032254464305511e-24,True
"X30040_241.107_4.685_nan;NCGC00180648-02!(3R,4S)-6,8-dihydroxy-3,4,5-trimethyl-1-oxo-3,4-dihydroisochromene-7-carboxylic acid",14.94919532333548,92.47425311466137,two-sided,2.0839095920009162e-26,[1.43 1.87],2.6058643490156634,6.136e+29,1.0,1.382985840180462e-24,True
X4153_308.149_2.07_nan,15.54321898876039,83.36875576316228,two-sided,2.3687003732338766e-26,[1.48 1.92],2.8394652953012045,2.963e+31,1.0,1.5605959270610439e-24,True
X60368_336.216_7.776_nan,13.665642742660342,120.8855302452821,two-sided,2.796779861973016e-26,[1.29 1.73],2.1420078989153315,1.35e+26,1.0,1.829375719788393e-24,True
X48178_319.154_6.309_nan,-12.556339595383722,174.30198153154817,two-sided,3.596224892661842e-26,[-1.46 -1.07],1.5651167241071808,9.257e+22,0.9999999999999984,2.3354911945772477e-24,True
X69275_589.399_9.118_nan,-13.494174789742654,121.3531547415919,two-sided,6.553706939656978e-26,[-1.42 -1.05],1.51218700523589,4.373e+25,0.9999999999999785,4.225978971302216e-24,True
X42779_410.29_5.771_nan,-13.364057478916127,124.68504627494146,two-sided,7.933492638445145e-26,[-1.41 -1.05],1.505496969245479,1.86e+25,0.9999999999999704,5.07967007526361e-24,True
X3116_209.092_1.497_KYNURENINE - 40.0 eV,15.930481881239531,75.2728745891279,two-sided,8.05365914133311e-26,[1.53 1.97],3.063297454653711,3.671e+32,1.0,5.1205502736364086e-24,True
"X43275_219.065_5.806_nan;methyl 4-hydroxy-3,5-dimethoxybenzoate",16.98539880247173,66.1385809693558,two-sided,8.219135364693942e-26,[1.61 2.03],3.5198015485200735,3.304e+35,1.0,5.189470745541481e-24,True
X47359_365.219_6.284_nan,-13.49353010773843,119.17843182653839,two-sided,9.36055293321583e-26,[-1.41 -1.05],1.5069328840907834,4.355e+25,0.9999999999999724,5.829188169095776e-24,True
X56027_657.41_7.232_nan,-13.138541740997464,132.37650272352468,two-sided,9.312606079426651e-26,[-1.41 -1.04],1.4982505366290033,4.225e+24,0.999999999999958,5.829188169095776e-24,True
X2742_297.144_1.14_nan,14.926659385148643,87.05153625314962,two-sided,1.0025484773092903e-25,[1.44 1.89],2.672574845051348,5.295e+29,1.0,6.200796432446305e-24,True
