Metabolite,T,dof,alternative,p-val,CI95%,cohen-d,BF10,power,p-bh,Significance
X34957_223.133_4.985_nan,7.752918713907888,66.68079292148838,two-sided,6.902614494079682e-11,[0.95 1.61],1.5983924981441355,9.315e+09,0.9999999999999997,4.088506252779965e-10,True
"X70085_293.211_9.193_nan;Massbank:AC000104 5-hydroxyculmorin|(1S,3R,3aS,4R,6R,8aR,9R)-Decahydro-1,5,5,8a-tetramethyl-1,4-methanoazulene-3,6,9-triol",7.799129546479351,64.33844757759896,two-sided,7.059088981408676e-11,[0.97 1.64],1.645160513324028,1.209e+10,1.0,4.1784659517557083e-10,True
X56763_606.399_7.311_nan,-7.163513637955724,119.0423218954791,two-sided,7.089228847997124e-11,[-0.96 -0.54],0.7998361525845022,3.612e+08,0.9989339412048484,4.1935763621333675e-10,True
X27985_348.217_4.52_nan,7.440120349137304,85.84968856558099,two-sided,7.132348343679767e-11,[0.83 1.44],1.3406478373431245,1.631e+09,0.9999999999518744,4.2163401261857247e-10,True
X81811_460.293_10.518_nan,-7.159886627609994,119.00078703790123,two-sided,7.230475553077602e-11,[-0.96 -0.54],0.7993787203931649,3.542e+08,0.9989236223652568,4.2715713923704715e-10,True
X62846_407.206_7.983_nan,-6.959576823348207,168.25573700181334,two-sided,7.276228070138638e-11,[-1.12 -0.63],0.9524723900980817,1.214e+08,0.9999722586408853,4.295809455435097e-10,True
X70395_555.334_9.234_nan,-7.147851386566296,120.60993348625003,two-sided,7.333120228269408e-11,[-0.96 -0.54],0.8000652558185464,3.319e+08,0.998939075193404,4.3253623398296507e-10,True
X57939_548.934_7.464_nan,-6.964026215986714,166.1594520201573,two-sided,7.335799304902465e-11,[-1.01 -0.57],0.8457106945312247,1.243e+08,0.9996099062722378,4.3253623398296507e-10,True
X12875_388.187_3.278_nan;Spectral Match to Nonaethylene glycol from NIST14,7.66360042303824,70.31108164250202,two-sided,7.415470172990765e-11,[0.92 1.57],1.5304452411512992,5.641e+09,0.9999999999999911,4.3695045244868464e-10,True
X89955_284.331_12.179_nan,-7.15373406055991,119.00006728767835,two-sided,7.460930278790758e-11,[-0.96 -0.54],0.798690897420116,3.426e+08,0.9989079338659537,4.3934441771221224e-10,True
X81515_535.363_10.481_nan,-6.935702915540217,174.1540441611088,two-sided,7.605710634034606e-11,[-1.03 -0.58],0.8639564467806505,1.07e+08,0.9997440902193709,4.4758007174525976e-10,True
X15197_252.086_3.384_nan,7.035517909400161,142.39671668945078,two-sided,7.684949165404094e-11,[0.67 1.2 ],1.0370707641947965,1.818e+08,0.9999974827592907,4.519505679938811e-10,True
X23504_219.076_4.139_nan,-6.9337679261779535,171.51699434505846,two-sided,7.987813549959874e-11,[-1.02 -0.57],0.8551259597678165,1.059e+08,0.9996856842460224,4.694583115464459e-10,True
X91005_284.331_12.622_nan,-7.139761145311992,119.00277013786042,two-sided,8.010639304512062e-11,[-0.96 -0.54],0.7971342716009783,3.178e+08,0.9988716520290593,4.704956883502821e-10,True
X90015_774.252_12.228_nan;Contaminant vial septum ThermoFisher C5000-44B,-7.1339961285820666,119.4170042575965,two-sided,8.149360162923208e-11,[-0.96 -0.54],0.7970120013662065,3.081e+08,0.9988687558851015,4.783342969741627e-10,True
X76204_285.242_9.95_nan,-6.959041934259196,160.87750206893236,two-sided,8.21096618925172e-11,[-1.   -0.56],0.8348022032928085,1.211e+08,0.9995010474793056,4.816393844688815e-10,True
X55141_422.216_7.116_nan,-6.943244125212533,165.8064586627552,two-sided,8.268251976376152e-11,[-1.13 -0.63],0.958049653177047,1.114e+08,0.9999761195814635,4.846869566035589e-10,True
X75410_498.313_9.817_nan,-7.131493316227221,119.00728281615693,two-sided,8.353877690345874e-11,[-0.96 -0.54],0.7962168688743425,3.04e+08,0.998849755286895,4.893908244885611e-10,True
X84902_718.546_10.87_MGDG (14:0/16:1),-7.126331673015478,119.0023852623417,two-sided,8.577451479736608e-11,[-0.96 -0.54],0.7956344249109916,2.957e+08,0.9988356521222489,5.021647704685462e-10,True
X76069_325.2_10.038_nan;2'-Hydroxy-a-naphthoflavone CollisionEnergy:205060,-7.0074000142707495,144.06899385583006,two-sided,8.621563367952012e-11,[-0.98 -0.55],0.8145419653935767,1.565e+08,0.9992210656162764,5.044224848225205e-10,True
X80957_590.389_10.417_nan,-7.12227100127613,119.27962619641414,two-sided,8.685699483209914e-11,[-0.96 -0.54],0.7955294236548559,2.893e+08,0.9988330928614976,5.078481009732768e-10,True
X19524_239.128_3.787_nan,7.859481279903661,59.79936053563289,two-sided,8.692856588982297e-11,[1.01 1.7 ],1.74470209006805,1.702e+10,1.0,5.079399235670118e-10,True
X67227_419.139_8.745_nan,-7.122155738205264,119.00862209509987,two-sided,8.760031034758915e-11,[-0.96 -0.54],0.795176029762861,2.891e+08,0.9988244414810915,5.11536301657213e-10,True
X88135_653.461_11.551_nan,-6.897955147036005,176.12218688655042,two-sided,9.11880501726044e-11,[-1.04 -0.58],0.8679718771456585,8.77e+07,0.9997671522715114,5.321448986966105e-10,True
X12258_336.18_3.048_nan,7.412762417566871,83.42847529863734,two-sided,9.254836239209435e-11,[0.84 1.45],1.3537175147510399,1.403e+09,0.9999999999721653,5.39736825445107e-10,True
X128_198.94_0.55_nan,7.378453109252891,86.21732595785474,two-sided,9.285328386607746e-11,[0.83 1.43],1.3269224539388331,1.162e+09,0.9999999999150813,5.411679851989591e-10,True
"X18375_257.138_3.682_nan;4-[5-(4-hydroxy-3-methoxyphenyl)-3,4-dimethyloxolan-2-yl]-2-methoxyphenol",7.814082672349961,60.89027063065546,two-sided,9.292941162538682e-11,[0.99 1.68],1.7118980593306676,1.316e+10,1.0,5.412647088392166e-10,True
X32864_273.228_4.92_nan,7.734295775304166,64.18435911603693,two-sided,9.322012762834819e-11,[0.96 1.63],1.6340639701892614,8.388e+09,1.0,5.42610371572946e-10,True
X4993_339.155_2.142_nan,7.453946745444067,79.85969184147484,two-sided,9.490788523575498e-11,[0.86 1.48],1.3904365965247332,1.76e+09,0.9999999999942305,5.520809293432401e-10,True
X63477_293.211_8.192_nan,7.734848096426933,63.75151749407614,two-sided,9.67983711883254e-11,[0.97 1.64],1.641534581166314,8.414e+09,1.0,5.62717896959242e-10,True
X87023_435.394_11.237_nan,-7.082988000687192,122.33522855745395,two-sided,9.732056899024386e-11,[-0.96 -0.54],0.7949657357818092,2.343e+08,0.9988192654738124,5.653920851497106e-10,True
X88906_375.268_11.84_nan,-7.09360392269479,120.36223791824685,two-sided,9.742330125919773e-11,[-0.96 -0.54],0.793682967827384,2.48e+08,0.9987872379994744,5.655145946807246e-10,True
